@relation 'Leukemia_resampled_data-weka.filters.unsupervised.attribute.Remove-V-R1834,3252,1882,4847,6041,6855,2288,2354,760,4377,1685,6376,1779,4366,5772,1144,2128,4328,758,2121,2402,4196,804,2642,1909,1725,1745,2335,6281,2363,7130'

@attribute M23197_at numeric
@attribute U46499_at numeric
@attribute M27891_at numeric
@attribute X95735_at numeric
@attribute L09209_s_at numeric
@attribute M31523_at numeric
@attribute M84526_at numeric
@attribute M92287_at numeric
@attribute D88422_at numeric
@attribute X62654_rna1_at numeric
@attribute M11722_at numeric
@attribute M83652_s_at numeric
@attribute M19507_at numeric
@attribute X61587_at numeric
@attribute U22376_cds2_s_at numeric
@attribute J05243_at numeric
@attribute M63379_at numeric
@attribute X59417_at numeric
@attribute D88270_at numeric
@attribute M63138_at numeric
@attribute M96326_rna1_at numeric
@attribute X17042_at numeric
@attribute HG1612-HT1612_at numeric
@attribute U05259_rna1_at numeric
@attribute M29696_at numeric
@attribute M14636_at numeric
@attribute M16038_at numeric
@attribute M89957_at numeric
@attribute M31211_s_at numeric
@attribute M93056_at numeric
@attribute CLASS {ALL,AML}

@data
970,2046,17863,4863,5814,126,4573,1309,7109,4797,455,2892,2005,2801,473,-92,1037,1648,21,12358,7955,10603,1031,-14,268,220,2727,-691,88,2310,AML
408,753,13296,2612,2930,190,6759,852,3844,3199,297,157,1003,812,186,87,1586,528,130,7125,9933,8479,1687,218,607,67,2399,-145,139,1178,AML
275,577,1661,1671,1060,275,1569,1484,1507,1015,166,-245,5702,756,680,71,520,99,-4,2275,2676,1285,1367,251,448,-13,784,-128,75,222,AML
610,1287,2848,2316,1506,116,9735,593,992,1679,81,870,10194,1402,376,48,5729,787,48,2856,17060,6931,527,379,416,112,2064,-672,66,1391,AML
1430,1519,12279,1766,1966,265,5964,1179,4951,2313,202,2589,6235,2524,407,169,665,1620,95,8808,4884,6097,710,361,318,187,1368,-568,218,1467,AML
601,1005,11535,3519,4109,319,4486,558,1883,1999,-198,1369,20282,1951,1782,299,893,1223,51,4576,10943,6383,1005,213,366,407,799,-67,424,2214,AML
856,1307,3091,2317,2398,200,9873,834,1950,1115,69,97,9844,1080,2240,29,902,483,57,5953,27938,8943,407,199,81,515,501,-320,27,1933,AML
1319,2071,7420,1582,1035,378,4861,1024,909,1873,376,1683,11284,998,412,59,658,1748,167,4611,7654,5791,791,283,436,131,1027,-659,191,1312,AML
677,1411,11234,2447,1612,296,4456,614,1336,1197,61,1655,14593,616,636,112,617,436,73,3912,2259,3647,1459,687,218,208,953,-355,137,1078,AML
355,1520,2867,2233,2470,444,3975,618,3940,1808,431,266,25012,1758,2450,327,416,1188,49,2452,25080,10304,832,322,169,417,468,244,146,2683,AML
471,1247,5243,2880,2324,348,5480,1144,2563,1777,353,615,11775,1973,1789,274,322,1404,55,2513,21908,9465,616,374,178,238,953,64,198,2531,AML
623,2408,642,2369,1528,424,1196,528,412,1266,137,547,23571,1420,913,171,455,812,53,3209,1890,1989,1929,450,349,220,583,-259,131,1491,AML
645,651,10962,4448,5671,282,4380,648,2319,2142,-215,1424,21893,2301,2646,350,1149,1613,138,6198,14962,7215,705,181,386,522,871,47,566,2088,AML
1436,1478,7700,3249,1771,414,3620,333,979,1319,-93,1204,10196,1825,1906,206,1172,812,71,7119,3682,5739,1052,711,542,388,1133,-640,119,3765,AML
1459,1992,6685,1915,1129,390,4534,919,860,1754,327,1592,10184,1166,799,76,812,1672,175,5585,7107,5913,754,383,481,185,1093,-713,172,1829,AML
1165,1950,5116,2706,1359,323,4777,484,925,1860,254,1337,10288,1227,902,210,1451,728,50,4495,10617,7420,897,579,463,281,1367,-248,167,2367,AML
437,562,4291,1806,1601,415,2855,1146,764,1558,270,699,1118,1260,1049,233,390,1958,144,2127,9045,5826,657,527,302,82,840,139,230,1647,AML
354,188,2171,556,1093,526,-122,838,116,1403,250,576,373,555,828,227,504,2277,214,1812,478,3373,818,618,399,60,467,295,225,1016,AML
892,1502,11072,5606,3115,206,6212,1441,3662,2637,98,664,8634,3107,1212,133,7332,1655,-32,6106,10429,7314,894,-150,401,177,2616,-711,83,2426,AML
708,1171,4824,2750,2353,232,8569,1145,1816,1373,158,399,6587,1537,1865,115,592,945,56,4480,24702,8918,424,277,114,344,820,-211,115,2134,AML
944,1362,4861,1808,1147,370,2962,1128,650,1592,139,1483,7051,824,556,74,551,1560,169,4469,4999,6623,1316,166,459,125,893,-616,233,1170,AML
766,167,12159,3279,2198,665,138,1028,345,1686,1259,665,212,548,1042,619,478,1213,146,7322,969,3332,2845,301,438,300,2648,-493,338,925,AML
1293,1683,4031,3027,1427,384,3747,619,640,1858,645,1180,5401,982,1107,303,1569,881,121,5999,10580,7303,1139,617,498,304,1906,-304,195,2032,AML
735,1205,1785,1359,1309,321,2137,265,887,967,19,634,14436,812,758,0,1830,556,36,3645,5100,4430,641,588,448,207,1061,-587,29,760,AML
1161,1801,5414,1390,1088,383,3203,757,881,1525,263,1323,12657,886,557,33,626,1374,126,4401,5713,5145,739,392,448,164,935,-634,137,1075,AML
991,1529,1585,2449,1140,289,3558,882,1031,1559,341,720,6469,973,952,153,1359,515,67,4295,9256,5697,913,531,490,180,1326,-201,122,1529,AML
