@relation 'Leukemia-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N5-F2-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R3,5,11,22,25,28-29,33,39,48,51,54-55,65-66,69,78,81,89,106,115,126-127,135-136,138,146,152,174,185,204-205,226,240,246,252,266,273,278,284-286,294,296,298,300,309,314,316,320,323,326-328,331-332,338,340,344,358,360,362,369,383,390,396,402,404,408,418,420-421,426-427,429,433,466,469,471,481,495,513,528,531,540,542-545,548,550,553,555,563,565,571,574,578,581,593,595,598,628,634,636,651,679,686,696,701-702,704,720,740,746,763,770,773,777,793,795,809,821,825,834-835,838,840,842,856-857,860,865,867-868,872,875,878,882,885-887,890,897,899,902,906,922,928,937,940,942,946,949,959-960,963,967,969,973-974,976,983,989,991-992,997,1007,1018,1037,1054,1057-1058,1077,1082,1087-1088,1101,1113,1125,1130,1150,1167,1176,1178,1181,1183,1194,1209,1212,1215,1218-1221,1233,1236,1244,1246-1247,1250,1257,1261,1272,1280,1284,1286,1293,1301,1324,1328,1333,1343,1346,1359,1368,1371,1376,1379,1383,1385,1394,1409,1413,1421-1422,1426,1429,1446-1447,1457,1460,1464,1476,1493,1496,1500,1502,1523,1525,1539,1548,1554,1562,1564,1572,1576,1583,1586,1595,1614,1620,1636,1644,1648,1659-1660,1662,1670,1676,1683,1699,1701,1716-1718,1725-1726,1736,1739,1748,1761,1778,1790-1792,1795,1797,1805,1809,1812,1821,1827-1828,1832,1834,1848,1864,1866-1869,1875,1878,1882,1894,1902,1904-1906,1910,1913,1920,1922,1927,1933,1951-1955,1961,1966,1971-1973,1977-1978,1987,1995-1997,2004,2026,2036,2056-2057,2059,2065,2069,2073,2077,2081,2086,2090,2099,2106-2107,2151-2152,2155-2156,2159,2163,2167,2171-2172,2177-2178,2192,2197,2208-2209,2211,2219,2223,2226,2241-2242,2248,2254-2255,2260-2261,2277,2281-2283,2295,2301,2307-2309,2318,2320-2321,2325,2336,2341,2345,2349,2363,2375-2376,2386,2389-2392,2405,2421,2427,2432,2455-2456,2462,2470,2483,2489,2504-2505,2507,2523,2528-2529,2533,2537-2538,2544,2546,2551,2568,2574,2578-2579,2583,2587-2590,2608,2612,2618,2630,2637,2641,2645,2675,2680,2683,2690,2701-2702,2709,2735-2736,2744,2749,2758,2774-2775,2777,2785-2787,2792,2823,2827,2843,2864,2870,2873,2900-2901,2903,2905,2909,2914,2919,2921-2922,2930,2933,2937,2946,2952,2958,2961,2970,2979,2984,2986,3003,3015,3024,3027,3031-3032,3034,3039,3050,3053,3058,3060-3061,3071,3075-3076,3085,3107,3110,3116,3120,3130,3135,3138-3139,3144,3157,3162-3163,3171,3187-3189,3199,3205,3211,3215-3216,3218,3224,3245-3246,3251-3253,3267,3270,3272,3274,3277,3285,3287-3291,3295,3297,3301,3307,3312,3318-3319,3323,3332,3340,3342,3347-3349,3356,3359,3374,3381,3404,3421,3438,3442,3446,3478-3479,3481,3483,3489,3510,3513-3514,3522,3526,3528,3536,3558-3559,3562,3580,3596,3608,3613,3617,3626,3628-3629,3631,3635,3639-3640,3644,3646,3650,3653,3655,3668-3669,3680,3684,3704,3720,3723,3738,3747,3751,3764,3772,3775,3780,3792,3795,3798,3803,3811-3812,3816,3818-3819,3822,3824,3827,3831,3836,3840,3845,3847,3853,3856,3861-3862,3865,3867,3874,3879,3887,3896-3897,3900,3931,3936,3940,3942,3944,3949,3959-3960,3962,3969,3971,3979,3981,3991,3995,4005,4019,4024,4033,4064,4068,4072,4075,4080,4083,4088-4090,4099-4101,4128,4131,4133,4152,4154,4175,4200,4205,4210,4212,4219,4229,4232-4234,4241,4263,4271,4294,4297,4305,4308-4309,4313,4315-4316,4327,4337,4341,4351-4352,4362,4364,4368,4371,4373,4380-4381,4387,4401,4405,4412,4419-4420,4426,4428,4435,4437,4443,4445,4451,4453,4456-4458,4466,4471,4476,4483,4489,4492,4497,4500-4501,4504,4523,4530,4537,4549,4552,4559,4561,4570-4571,4580-4581,4588,4594,4599,4620,4623,4631,4638,4644,4660-4661,4664-4665,4668,4674,4679,4682-4683,4688,4713,4716,4727,4732-4733,4738-4739,4742,4752,4757,4767-4768,4771,4773,4785-4786,4789-4791,4793,4802,4806,4837,4846,4850,4866,4868,4871,4873,4878,4885,4890,4894,4904,4910,4918-4919,4923,4928,4930,4937,4946,4953-4954,4957-4958,4962-4963,4968,4975,4992-4993,4996,5001,5003,5009-5010,5018,5025,5031,5037-5038,5045,5049,5059,5064,5066,5070-5071,5083-5084,5086,5089,5108,5112-5113,5127,5148,5150,5159-5160,5173,5175,5184,5191-5192,5194,5200,5207,5216,5221,5230,5236,5240,5245,5249,5255,5267,5270,5276,5314-5315,5325,5330,5345,5352,5356,5362,5368,5370,5378,5389,5393,5398,5406,5419-5420,5435,5439,5450-5451,5459-5460,5463,5470,5472,5479-5480,5485,5489,5494,5506,5523,5526,5529,5537,5540,5542,5544,5548,5551,5556,5564,5583,5586,5592,5602,5615,5619,5630-5631,5633,5637,5649-5650,5653,5658,5689-5690,5693,5699-5700,5702,5706,5716-5717,5722,5725,5729,5740,5744-5745,5750,5752-5753,5755,5758-5759,5763,5765,5776,5778,5782,5787-5789,5791,5794,5799,5812,5814,5821,5826,5843-5844,5856,5859,5902,5905-5906,5916,5918,5921-5922,5924,5932,5939,5943,5951,5956,5968,5971,5974,5977,5981,6000-6001,6009-6010,6015,6023,6028,6056,6077,6085,6098,6102,6105,6108,6110,6115,6117,6120,6129,6136,6148,6152-6153,6157-6158,6164-6165,6171,6178,6188,6211,6213,6215,6222,6224,6236,6242-6243,6247,6252,6261,6264,6270,6272,6277,6279,6283,6294,6296,6301,6307,6316,6321,6343,6345,6348,6361,6364,6368-6369,6392-6393,6395,6421,6428,6436,6443,6445,6452,6455,6460,6462,6465-6466,6471,6476,6486,6488,6490,6501,6507,6515,6521,6534,6540,6544-6545,6547,6553,6555,6567-6568,6586,6590,6592,6606-6607,6609,6616,6623-6624,6629,6641,6648-6649,6651,6655,6658,6667,6683,6686,6697,6701,6707,6709,6713,6721,6726,6731,6735-6736,6758,6760-6762,6776,6778,6784,6786,6788,6791,6798,6803,6810,6819,6821-6822,6827-6828,6830,6845,6856,6878,6883,6887,6890,6895,6897,6906,6910,6912,6915,6920,6924,6938,6944,6946,6962,6968,6970,6979,6982,6987,6990,6995,7009,7013-7014,7028,7031,7037,7053,7062-7064,7071,7077,7093,7098,7101,7108,7120,7123,7127,7130-weka.filters.unsupervised.attribute.Remove-V-R516,295,931,267,359,286,382,741,233,1018,998,612,369,622,88,717,1041,44,410,575,1090,1013,701,760,765,722,188,306,614,305,1151'

@attribute U46499_at numeric
@attribute M27891_at numeric
@attribute X06182_s_at numeric
@attribute M14636_at numeric
@attribute M80254_at numeric
@attribute M23197_at numeric
@attribute M93056_at numeric
@attribute X80230_at numeric
@attribute L31860_at numeric
@attribute M86933_at numeric
@attribute M19267_s_at numeric
@attribute U82321_at numeric
@attribute M85169_at numeric
@attribute U85946_at numeric
@attribute D64154_at numeric
@attribute X69819_at numeric
@attribute U09087_s_at numeric
@attribute D25217_at numeric
@attribute S82470_at numeric
@attribute U70063_at numeric
@attribute L11672_r_at numeric
@attribute M65214_s_at numeric
@attribute X65633_at numeric
@attribute X87613_at numeric
@attribute X90568_at numeric
@attribute X70683_at numeric
@attribute L02932_at numeric
@attribute M31627_at numeric
@attribute U82759_at numeric
@attribute M31210_at numeric
@attribute CLASS {ALL,AML}

@data
0.877344,1,0.224747,0.725155,0.170192,0.851869,0.221377,0.178783,0.248387,0.476974,0.537915,0.399281,0.434559,0.310433,0.653797,0.45906,0.246341,0.514525,0.231388,1,0.108911,0.276986,0.481865,0.22973,0.599624,0.072283,0.566434,0.134099,0.298827,0.172414,AML
0.224408,0.554099,0.145202,0.995342,0.402885,0.273189,0.439243,0.103128,0.231183,1,0.535545,0.694245,0.211765,0.368957,0.916345,0.118331,0.512195,0.796648,0.40602,0.190476,0.100546,0.246843,0.564767,0.47027,1,0.00556,0.604895,0.168319,0.244306,0.084052,AML
0.349216,0.365876,0.972222,0.350932,0.734615,0.23904,0.500098,0.070583,0.34086,0.207237,0.625592,0.622302,0.180147,0.173028,0.068211,0.438193,0.202439,0.469274,0.201057,0.196787,0.071355,0.142566,0.172712,0.572973,0.616541,0.048678,0.367133,0.208343,0.835749,0.25,AML
0.684291,0.095383,0.412879,0.653727,0.2625,0.652054,0.48898,0.162722,0.223656,0.236842,0.187204,0.496403,0.225735,0.264631,0.8713,0.340729,0.143902,0.671508,0.558824,0.217441,0.380335,0.345418,0.103627,0.118919,0.516917,0.174045,0.545455,0.295526,0.501035,0.142241,AML
0.034122,0.031213,0.19697,0.27795,0.377885,0.053992,0.059684,0.171598,0.502151,0.069079,0.516588,0.582734,0.186029,0.475827,0.138996,0.139725,0.390244,0.344134,0.041131,0.126793,0.390065,0.208961,0.497409,0.345946,0.610902,0.254406,0.496503,0.693349,0.376812,0.329741,ALL
0.046111,0.024083,0.199495,0.43323,0.177885,0.115367,0.173006,0.429417,0.308602,0.328947,0.149289,0.794964,0.357353,0.099237,0.217503,0.138405,0.304878,0.408939,0.215533,0.049914,0.347388,0.251731,0.43696,0.554054,0.661654,0.250525,0.793706,0.523821,0.172533,0.181034,ALL
0.038426,0.027722,0,0.23913,0.280769,0.039225,0.138678,0.833897,0.227957,0.266447,0.341232,0.176259,0.511029,0.26972,0.320463,0.299525,0.141463,0.314525,0.09398,0.046472,0.076989,0.50224,0.56304,1,0.43985,0.181704,0.451049,0.68682,0.023464,0.204741,ALL
0.02613,0.016803,0.193182,0.184783,0.356731,0.042916,0.061244,0.201606,0.256989,0.467105,0.303318,0.453237,0.627206,0.277354,0.27027,0.550449,0.329268,0.251955,0.128217,0.045898,0.253499,0.447251,0.689119,0.272973,0.859023,0.151385,0.496503,0.152842,0.035197,0.489224,ALL
0.053182,0.00359,0.131313,0.28882,0.099038,0.115828,0.121904,0.336433,0.23871,0.157895,0.395735,0.104317,0.354412,0.534351,0.785071,0.041733,0.592683,0.320112,0.129596,0.144578,0.360191,0.627291,0.105354,0.781081,0.699248,0.194713,0.367133,0.383313,0.334023,0.224138,ALL
0.058408,0.035501,0.217172,0.108696,0.296154,0.054453,0.269553,0.087067,0.247312,0.131579,0.533175,0.140288,0.995588,0.600509,0.876448,0.72504,1,0.312849,0.162914,0.056799,0.542165,0.396741,0.075993,0.416216,0.680451,0.340117,0.524476,0.205925,0.229124,0.482759,ALL
0.329849,0.059633,0.180556,0.201863,0.336538,0.049838,0.044861,0.193153,0.276344,0.151316,0.369668,0.557554,0.388235,0.559796,0.292149,0.385895,0.497561,0.472067,0.048254,0.127367,0.532946,0.254175,0.504318,0.654054,0.511278,0.123479,0.43007,0.044619,0.180814,0.655172,ALL
0.027359,0.009773,0.210859,0.298137,0.169231,0.054453,0.10825,0.61623,0.313978,0.519737,0.353081,0.539568,0.588971,0.394402,0.418275,0.170629,0.282927,0.402793,0.126608,0.094091,0.271594,0.156008,0.378238,0.662162,0.736842,0.158728,0.604895,0.510641,0.349206,0.217672,ALL
0.046419,0.008526,0.161616,0.203416,0.406731,0.029995,0.204798,0.399831,0.116129,0.319079,0.350711,0.255396,0.289706,0.587786,0.705277,0,0.558537,0.607821,0.227482,0.092369,0.497439,0.507943,0.321244,0.583784,0.701128,0.279585,0.562937,0.37497,0.582471,0.239224,ALL
0.300953,0.908556,0.233586,0.568323,0.176923,0.690355,0.346791,0.064666,0.283871,0.398026,0.462085,0.517986,0.133088,0,0.217503,0.352879,0.05122,0.32514,0.388097,0.804934,0,0.021996,1,0.159459,0.740602,0,0.08042,0.096977,0.201518,0.131466,AML
0.461728,0.182938,0.964646,1,0.083654,1,1,0.71809,0.213978,0.026316,0.132701,0.510791,0.236765,0.3257,0.875161,0.596936,0.35122,0.862011,1,0.319564,0.420451,0.254582,0.050086,0.548649,0.43985,0.218947,0.902098,0.429625,0.821256,0.008621,AML
0.513065,0.601416,0.207071,0.46118,0.628846,0.411168,0.518822,0.142012,0.174194,0.638158,0.258294,0.697842,0.238971,0.590331,0.842986,0.47253,0.170732,0.52905,0.439798,0.181297,0.120519,0.160081,0.585492,0.437838,0.526316,0.038187,0.43007,0.277993,1,0.25,AML
0.427605,0.744465,0.084596,0.75,0.614423,0.504384,0.488785,0.225275,0.247312,0.424342,0.554502,0.564748,0.433824,0.519084,0.441441,0.301638,0.097561,0,0.349035,0.590361,0.13759,0.244807,0.336788,0.159459,0.492481,0.011225,0,0.37243,0.775707,0.200431,AML
0.391024,0.092591,1,0.549689,0.275,0.343332,0.136922,0.066779,0.480645,0.319079,0.218009,0.089928,0.099265,0.287532,0.774775,0.384046,0.178049,0.456983,0.323759,0.247275,0.338682,0.274134,0.176166,0.172973,0.712406,0.066408,0.216783,0.088271,0.231884,0,AML
0.077467,0.013961,0.099747,0.380435,0.230769,0.023535,0.087576,0.448859,0.495699,0.184211,0.689573,0.899281,0.288971,0.478372,0.428571,0.187797,0.12439,0.416201,0.060892,0.133678,0.320758,0.678615,0.291883,0.716216,0.443609,0.264897,0.465035,0.775695,0.218081,0.329741,ALL
0.048263,0.009922,0.09596,0.385093,0.263462,0.085371,0.101619,0.620456,0.254839,0.286184,0.405213,0.741007,0.588235,0.633588,0.222651,0.092446,0.529268,0.360335,0.079274,0.129662,0.552066,0.727495,0.316062,0.92973,0.605263,0.540076,0.513986,1,0.294686,0.237069,ALL
0.038426,0.122956,0.099747,0.164596,0.452885,0.096908,0.117613,0.349535,0.247312,0.279605,0.281991,0.816547,1,0.496183,0.265122,0.662176,0.092683,0.289385,0.428309,0.176707,0.231649,0.405295,0.331606,0.4,0.663534,0.79039,0.437063,0.046433,0.117322,0.260776,ALL
0.055641,0.041334,0.181818,0.145963,0.179808,0.089063,0.072752,0.310651,0.167742,0.411184,0.312796,0.701439,0.521324,0.208651,0.419562,0.325145,0.190244,0.269832,0.206801,0.138267,0.594913,0.479022,0.561313,0.440541,0.708647,0.190621,0.458042,0.235067,0.15942,1,ALL
0.058715,0.01446,0.165404,0.414596,0.339423,0.165205,0.297835,0.327134,0.255914,0.365132,0.296209,0.694245,0.420588,0.872774,0.261261,0.071844,0.514634,0.928492,0.253676,0.213999,0.171902,0.41833,0.509499,0.716216,0.62406,0.25535,0.636364,0.540387,0.133195,0.209052,ALL
0.046419,0.043578,0.219697,0.204969,0.249038,0.059991,0.077238,0.202874,0.248387,0.138158,0.327014,0.453237,0.367647,0.356234,0.553411,0.251717,0.417073,0.289385,0.20841,0.057372,0.177876,0.45947,0.454231,0.327027,0.656015,0.701742,0.437063,0.089359,0.333333,0.592672,ALL
0.040885,0.022537,0.136364,0.234472,0.335577,0.020305,0.181588,0.545224,0.266667,0.414474,0.310427,0.76259,0.602941,0.549618,0.688546,0.121236,0.826829,0.600559,0.164063,0.134251,0.356436,0.610998,0.369603,0.721622,0.672932,0.344524,0.748252,0.332285,0.119393,0.377155,ALL
0.050722,0.028969,0.210859,0.104037,0.222115,0.06599,0.093427,1,0.341935,0.365132,0.421801,0.870504,0.793382,0.689567,0.84556,0.119387,0.714634,0.287709,0.350414,0.267355,1,0.650509,0.381693,0.932432,0.569549,1,1,0.613664,0.298827,0.56681,ALL
0.052259,0.007329,0.22096,0.430124,0.218269,0.076604,0.099083,0.21809,0.373118,0.253289,0.42891,0.856115,0.207353,0.407125,0.209781,0.211833,0.258537,0.360894,0.16705,0.090075,0.216627,0.5389,0.55095,0.535135,0.684211,0.274234,0.440559,0.670738,0.235335,0.340517,ALL
0.508761,0.141404,0.352273,0.875776,0.284615,0.137979,0.556271,0.067625,0.372043,0.384868,0.308057,0.564748,0.133824,0.073791,0.256113,0.408875,0.260976,0.985475,0.159467,0.371199,0.100546,0,0.352332,0.437838,0.620301,0.021821,0.423077,0.134462,0.146998,0.092672,AML
0.503228,0.65372,0.219697,0.537267,0.298077,0.241347,0.490345,0.048183,0.270968,0.348684,0.362559,0.464029,0.155882,0.180662,0.442728,0.36767,0,0.399441,0.376149,0,0.074599,0.167821,0,0.402703,0.533835,0.513428,0.125874,0.100605,0.31746,0.146552,AML
0.416846,0.155614,0.472222,0.354037,1,0.256576,0.299395,0.170752,0.273118,0.565789,0.42654,0.143885,0.246324,0.442748,0.355212,0.332541,0.182927,0.817318,0.561121,0.185313,0.058382,0.25336,0.340242,0.337838,0.62406,0.008393,0.300699,0.140508,0.518288,0.282328,AML
0.668306,0.379637,0.308081,0.381988,0.284615,0.600369,0.284182,0.10355,0.216129,0.453947,0.175355,0.338129,0.132353,0.292621,0.725869,0.266244,0.209756,0.451397,0.59329,0.036718,0.107204,0.250509,0.300518,0.151351,0.584586,0.11089,0.108392,0.429746,0.849551,0.288793,AML
0.655702,0.909404,0.306818,0.521739,0.871154,0.430549,0.478252,0.153001,0.216129,0.447368,0.303318,0.118705,0.455882,0.256997,0.67825,0.637084,0.241463,0.380447,0.215763,0.491681,0.081256,0.279837,0.435233,0.159459,0.610902,0.001783,0.206294,0.29601,0.477571,0.103448,AML
