rank	   KS	accession	description
32	66468	M69039_at	"PRE-MRNA SPLICING FACTOR SF2, P32 SUBUNIT PRECURSOR"
33	66436	M24485_s_at	SAT Spermidine/spermine N1-acetyltransferase
34	66332	U73377_at	SKI V-ski avian sarcoma viral oncogene homolog
35	66321	U41371_at	Spliceosome associated protein (SAP 145) mRNA
36	66321	M94556_at	SSBP Single-stranded DNA-binding protein
37	66311	X72964_at	CALT Caltractin (20kD calcium-binding protein)
38	66290	U24166_at	EB1 mRNA
39	66248	M95627_at	Angio-associated migratory cell protein (AAMP) mRNA
40	66237	U07550_at	HSPE1 Heat shock 10 kD protein 1 (chaperonin 10)
41	66153	D43642_at	YL-1 mRNA for YL-1 protein (nuclear protein with DNA-binding ability)
42	66122	D85429_at	DNAJ PROTEIN HOMOLOG 1
43	66059	S69272_s_at	Cytoplasmic antiproteinase
44	66027	D42123_at	ESP1/CRP2
45	66027	M34539_at	FKBP1 FK506-binding protein 1 (12kD)
46	65996	D80002_at	"KIAA0180 gene, partial cds"
47	65974	X79865_at	Mrp17 mRNA
48	65953	HG2815-HT4023_s_at	"Myosin, Light Chain, Alkali, Smooth Muscle (Gb:U02629), Smooth Muscle, Alt. Splice 4"
49	65932	X13238_at	COX6C Cytochrome c oxidase subunit VIc
50	65901	D78151_at	55.11 binding protein
51	65891	X72841_at	Retinoblastoma-binding protein (RbAp46) mRNA
52	65828	D13641_at	KIAA0016 gene
53	65817	Z50022_at	Surface glycoprotein
54	65796	X97074_at	EEF2 Eukaryotic translation elongation factor 2
55	65795	D28124_at	Unknown product
56	65754	U50523_at	"BRCA2 region, mRNA sequence CG037"
57	65744	J03805_s_at	"Phosphatase 2A mRNA, partial cds"
58	65743	AFFX-HSAC07/X00351_3_at	AFFX-HSAC07/X00351_3_at (endogenous control)
59	65733	U73514_at	Short-chain alcohol dehydrogenase (XH98G2) mRNA
60	65722	M63138_at	CTSD Cathepsin D (lysosomal aspartyl protease)
61	65722	L19686_rna1_at	Macrophage migration inhibitory factor (MIF) gene
62	65701	X00351_f_at	"ACTB Actin, beta"
63	65649	AJ001421_at	GB DEF = Rer1 protein
64	65649	D00596_at	TYMS Thymidylate synthase
65	65618	D87451_at	KIAA0262 gene
66	65586	D29643_at	KIAA0115 gene
67	65565	L21954_at	PERIPHERAL-TYPE BENZODIAZEPINE RECEPTOR
68	65522	M29277_at	CELL SURFACE GLYCOPROTEIN MUC18 PRECURSOR
69	65513	M33521_at	LARGE PROLINE-RICH PROTEIN BAT3
70	65512	J04444_at	CYC1 Cytochrome c-1
71	65438	HG2815-HT2931_at	"Myosin, Light Chain, Alkali, Smooth Muscle (Gb:U02629), Non-Muscle, Alt. Splice 2"
72	65376	X60221_at	"ATP5F1 ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1"
73	65334	D26600_at	PROTEASOME BETA CHAIN PRECURSOR
74	65324	M34182_at	"CAMP-DEPENDENT PROTEIN KINASE, GAMMA-CATALYTIC SUBUNIT"
75	65313	D38048_at	Proteasome subunit z
76	65292	L37936_at	MITOCHONDRIAL ELONGATION FACTOR TS PRECURSOR
77	65292	U18321_at	LAMR1 Laminin receptor (2H5 epitope)
78	65282	U67122_s_at	Ubiquitin-homology domain protein PIC1 mRNA
79	65218	Z19554_s_at	VIM Vimentin
80	65187	U49785_at	"DCT Dopachrome tautomerase (dopachrome delta-isomerase, tyrosine-related protein 2)"
81	65135	X72727_at	HNRPK Heterogeneous nuclear ribonucleoprotein K
82	65124	L40397_at	"(clone S31i125) mRNA, 3' end of cds"
83	65124	U57342_at	Myelodysplasia/myeloid leukemia factor 2 (MLF2) mRNA
84	65114	D64154_at	"Mr 110,000 antigen"
85	65061	X59892_at	TRYPTOPHANYL-TRNA SYNTHETASE
86	65019	U07857_at	SRP14 Signal recognition particle 14 kD protein
87	65019	M77836_at	PYCR1 Pyrroline-5-carboxylate reductase 1
88	65019	Z37166_at	BAT1 mRNA for nuclear RNA helicase (DEAD family)
89	65008	M60854_at	RPS16 Ribosomal protein S16
90	64998	U51336_at	"Inositol 1,3,4-trisphosphate 5/6-kinase mRNA"
91	64998	S81003_at	L-UBC
92	64988	X95325_s_at	DNA-BINDING PROTEIN A
93	64987	J04617_s_at	EEF1A1 Translation elongation factor 1-alpha-1
94	64977	U00968_at	SREBP-1 mRNA
95	64967	L11285_at	DUAL SPECIFICITY MITOGEN-ACTIVATED PROTEIN KINASE KINASE 2
96	64966	HG4319-HT4589_at	Ribosomal Protein L5
97	64945	L19527_at	RPL27 Ribosomal protein L27
98	64935	X91247_at	TXNRD1 Thioredoxin reductase
99	64925	L11669_at	Tetracycline transporter-like protein mRNA
100	64924	X69908_rna1_at	P2 gene for c subunit of mitochondrial ATP synthase gene extracted from H.sapiens gene for mitochondrial ATP synthase c subunit (P2 form)
101	64924	AFFX-HUMGAPDH/M33197_5_at	AFFX-HUMGAPDH/M33197_5_at (endogenous control)
102	64893	U51478_at	Sodium/potassium-transporting ATPase beta-3 subunit mRNA
103	64893	X64364_at	BSG Basigin
104	64893	L32977_at	UBIQUINOL-CYTOCHROME C REDUCTASE IRON-SULFUR SUBUNIT PRECURSOR
105	64871	M17733_at	Thymosin beta-4 mRNA
106	64862	M58525_s_at	COMT Catechol-O-methyltransferase
107	64851	D63475_at	KIAA0109 gene
108	64841	HG3494-HT3688_at	Nuclear Factor Nf-Il6
109	64819	K03515_at	GPI Glucose phosphate isomerase
110	64799	X12451_at	CTSL Cathepsin L
111	64799	U07806_s_at	TOP1 DNA topoisomerase I
112	64798	M11147_at	"FTL Ferritin, light polypeptide"
113	64736	U14603_at	Protein tyrosine phosphatase PTPCAAX2 (hPTPCAAX2) mRNA
114	64736	J04029_s_at	Keratin 10 type I intermediate filament (KRT10) mRNA
115	64736	U69126_s_at	"FUSE binding protein 2 (FBP2) mRNA, partial cds"
116	64735	U14973_at	40S RIBOSOMAL PROTEIN S29
117	64704	U85611_at	Snk interacting protein 2-28 mRNA
118	64704	M74491_at	ARF3 ADP-ribosylation factor 3
119	64673	U63825_at	Hepatitis delta antigen interacting protein A (dipA) mRNA
120	64651	X56932_at	LCAT Lecithin-cholesterol acyltransferase
121	64641	U95006_at	D9 splice variant A mRNA
122	64620	X56468_at	14-3-3 PROTEIN TAU
123	64620	D50063_at	Proteasome subunit p40_/ Mov34 protein
124	64619	AFFX-HSAC07/X00351_M_at	AFFX-HSAC07/X00351_M_at (endogenous control)
125	64568	AB003102_at	Proteasome subunit p44.5
126	64567	L06505_at	RPL12 Ribosomal protein L12
127	64567	X03342_at	RPL32 Ribosomal protein L32
128	64546	S65738_at	"Actin depolymerizing factor [human, fetal brain, mRNA, 1452 nt]"
129	64525	M14483_rna1_s_at	PTMA gene extracted from Human prothymosin alpha mRNA
130	64515	M75099_at	FRAP FK506 binding protein 12-rapamycin associated protein
131	64505	U25849_at	"ACP1 Acid phosphatase 1, soluble"
132	64505	M25753_at	G2/MITOTIC-SPECIFIC CYCLIN B1
133	64505	D00762_at	PROTEASOME COMPONENT C8
134	64483	U15008_at	SnRNP core protein Sm D2 mRNA
135	64483	HG3364-HT3541_at	Ribosomal Protein L37
136	64463	D44466_at	Proteasome subunit p112
137	64462	M81757_at	40S RIBOSOMAL PROTEIN S19
138	64452	X83218_at	"ATP5O ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)"
139	64441	D21853_at	EUKARYOTIC INITIATION FACTOR 4A-LIKE NUK-34
140	64421	U67171_at	GB DEF = Selenoprotein W (selW) mRNA
141	64421	D83260_s_at	HXC-26 mRNA
142	64420	U14972_at	Ribosomal protein S10 mRNA
143	64410	L25080_at	ARH12 Aplysia ras-related homolog 12
144	64400	Z26491_s_at	COMT Catechol-O-methyltransferase
145	64378	D00017_at	ANX2 Annexin II (lipocortin II)
146	64368	U21090_at	DNA polymerase delta small subunit mRNA
147	64358	L10413_at	"FNTA Farnesyltransferase, CAAX box, alpha"
148	64357	D38583_at	Calgizzarin
149	64357	Z70759_at	GB DEF = Mitochondrial 16S rRNA gene (partial)
150	64347	Z49835_s_at	PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR
151	64337	U68063_at	Putative splice factor transformer2-beta mRNA
152	64336	X67247_rna1_at	RpS8 gene for ribosomal protein S8
153	64326	L76191_at	Interleukin-1 receptor-associated kinase (IRAK) mRNA
154	64326	HG2274-HT2370_at	"Rna Polymerase Ii, 14.5 Kda Subunit"
155	64316	U34343_at	"GB DEF = 13kD differentiation-associated protein mRNA, partial cds"
156	64305	M22760_at	CYTOCHROME C OXIDASE POLYPEPTIDE VA PRECURSOR
157	64305	L11066_at	MITOCHONDRIAL STRESS-70 PROTEIN PRECURSOR
158	64305	J04611_at	G22P1 Thyroid autoantigen 70kD (Ku antigen)
159	64295	U51678_at	Small acidic protein mRNA
160	64284	L10284_at	CANX Calnexin
161	64273	D14710_at	"ATP5A1 ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle"
162	64242	X57346_at	"YWHAB Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide"
163	64221	X92896_at	ITBA2 protein
164	64220	L13210_at	Mac-2 binding protein mRNA
165	64211	M87339_at	"RFC4 Replication factor C, 37-kD subunit"
166	64211	M86737_at	SSRP1 High mobility group box
167	64210	X01677_f_at	GAPD Glyceraldehyde-3-phosphate dehydrogenase
168	64200	L25081_at	ARH9 Aplysia ras-related homolog 9
169	64190	U59309_at	FH Fumarate hydratase
170	64189	U14969_at	Ribosomal protein L28 mRNA
171	64179	X67698_at	Tissue specific mRNA
172	64179	M14200_rna1_at	Diazepam binding inhibitor (DBI) mRNA
173	64179	HG3342-HT3519_s_at	Id1
174	64179	X82434_at	EMD Emerin (Emery-Dreifuss muscular dystrophy)
175	64169	S56151_s_at	HMFG
176	64147	X06617_at	RPS11 Ribosomal protein S11
177	64137	U32944_at	Cytoplasmic dynein light chain 1 (hdlc1) mRNA
178	64105	X17206_at	PTB Ribosomal protein L26
179	64095	U46692_rna1_at	Cystatin B gene
180	64084	X52851_rna1_at	Peptidylprolyl isomerase gene extracted from Human cyclophilin gene for cyclophilin (EC 5.2.1.8)
181	64084	D78361_at	"Ornithine decarboxylase antizyme, ORF 1 and ORF 2"
182	64074	L37127_at	(clone mf.18) RNA polymerase II mRNA
183	64074	X57152_rna1_s_at	Casein kinase II subunit beta (EC 2.7.1.37)
184	64053	X85373_at	Sm protein G
185	64043	D78577_s_at	"YWHAH Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"
186	64043	X96924_rna1_at	Gene encoding mitochondrial citrate transport protein
187	64042	M22877_at	CYC1 Cytochrome c-1
188	64042	M26730_s_at	"GB DEF = Mitochondrial ubiquinone-binding protein (QP) gene, exon 4"
189	64042	M14199_s_at	LAMR1 Laminin receptor (2H5 epitope)
190	64021	M24194_at	Alpha-tubulin mRNA
191	64011	D49489_at	Protein disulfide isomerase-related protein P5
192	64000	X06323_at	MITOCHONDRIAL 60S RIBOSOMAL PROTEIN L3
193	63969	HG2147-HT2217_at	"Mucin 3, Intestinal (Gb:M55405)"
194	63917	D49738_at	Cytoskeleton associated protein (CG22) mRNA
195	63916	M18000_at	40S RIBOSOMAL PROTEIN S17
196	63906	U56637_at	Capping protein alpha subunit isoform 1 mRNA
197	63906	D25274_at	Randomly sequenced mRNA
198	63895	L04483_s_at	RPS21 Ribosomal protein S21
199	63895	D38076_at	RANBP1 RAN binding protein 1
200	63885	U78525_at	Eukaryotic translation initiation factor (eIF3) mRNA
201	63885	M26880_at	UBA52 Ubiquitin A-52 residue ribosomal protein fusion product 1
202	63885	M22960_at	PPGB Protective protein for beta-galactosidase (galactosialidosis)
203	63875	L38932_at	"GT197 partial ORF mRNA, 3' end of cds"
204	63874	J03934_s_at	NMOR1 NAD(P)H:menadione oxidoreductase
205	63874	X73460_at	RPL3 Ribosomal protein L3
206	63864	M19961_at	COX5B Cytochrome c oxidase subunit Vb
207	63864	D28589_at	"GB DEF = mRNA (KIAA00167), partial sequence"
208	63853	HG1800-HT1823_at	Ribosomal Protein S20
209	63853	AFFX-CreX-5_at	AFFX-CreX-5_at (endogenous control)
210	63833	HG4716-HT5158_at	Guanosine 5'-Monophosphate Synthase
211	63822	U38846_at	Stimulator of TAR RNA binding (SRB) mRNA
212	63822	J03459_at	LTA4H Leukotriene A4 hydrolase
213	63811	U06155_s_at	GB DEF = Chromosome 1q subtelomeric sequence D1S553
214	63811	M17886_at	"RPLP1 Ribosomal protein, large, P1"
215	63801	D43950_at	"T-COMPLEX PROTEIN 1, EPSILON SUBUNIT"
216	63791	X12517_at	U1 small nuclear RNP-specific C protein
217	63780	U05340_at	P55CDC mRNA
218	63780	D63478_at	KIAA0144 gene
219	63748	L06499_at	RPL37A Ribosomal protein L37a
220	63738	Z49254_at	L23-related mRNA
221	63737	AFFX-HUMGAPDH/M33197_3_at	AFFX-HUMGAPDH/M33197_3_at (endogenous control)
222	63696	M38690_at	CD9 CD9 antigen
223	63696	U11861_at	Edg-2
224	63685	D23660_at	RPL4 Ribosomal protein L4
225	63664	X63527_at	GAPD Glyceraldehyde-3-phosphate dehydrogenase
226	63655	K02574_at	NP Nucleoside phosphorylase
227	63654	X04106_at	"CAPN4 Calpain, small polypeptide"
228	63654	HG2855-HT2995_at	"Heat Shock Protein, 70 Kda (Gb:Y00371)"
229	63643	Z26876_at	LTBP1 Latent transforming growth factor beta binding protein 1
230	63643	U46025_at	Chromosome 16p11.2 BAC Clone CIT987SK-234F9 complete sequence
231	63601	U12465_at	RPS11 Ribosomal protein S11
232	63591	X70940_s_at	EEF1A2 Eukaryotic translation elongation factor 1 alpha 2
233	63570	D63878_at	PROBABLE PROTEIN DISULFIDE ISOMERASE ER-60 PRECURSOR
234	63569	M13934_cds2_at	RPS14 gene (ribosomal protein S14) extracted from Human ribosomal protein S14 gene
235	63560	U37012_at	Cleavage and polyadenylation specificity factor mRNA
236	63549	X59417_at	PROTEASOME IOTA CHAIN
237	63539	L37368_at	(clone E5.1) RNA-binding protein mRNA
238	63538	X80822_at	60S RIBOSOMAL PROTEIN L18A
239	63517	HG2873-HT3017_at	Ribosomal Protein L30 Homolog
240	63497	U24169_at	JTV-1 (JTV-1) mRNA
241	63444	D49400_at	Fetus brain mRNA for vacuolar ATPase
242	63434	X69910_at	P63 mRNA for transmembrane protein
243	63434	L38951_at	Importin beta subunit mRNA
244	63433	X12876_s_at	KRT18 Keratin 18
245	63433	L38696_at	"Autoantigen p542 mRNA, 3' end of cds"
246	63422	AFFX-HUMGAPDH/M33197_M_at	AFFX-HUMGAPDH/M33197_M_at (endogenous control)
247	63413	L27706_at	CCT6 Chaperonin containing T-complex subunit 6
248	63412	HG1980-HT2023_at	"Tubulin, Beta 2"
249	63392	M36430_s_at	"GNB1 Guanine nucleotide binding protein (G protein), beta polypeptide 1"
250	63381	Z37986_at	Phenylalkylamine binding protein
251	63371	Z29505_at	Alpha-CP1 mRNA
252	63370	X69550_at	Rho GDP-dissociation Inhibitor 1
253	63360	D90086_at	PDHB Pyruvate dehydrogenase (lipoamide) beta
254	63350	L09260_at	(chromosome 3p25) membrane protein mRNA
255	63328	U43901_rna1_s_at	37 kD laminin receptor precursor/p40 ribosome associated protein gene
256	63328	M17885_at	"RPLP0 Ribosomal protein, large, P0"
257	63318	D55716_at	DNA REPLICATION LICENSING FACTOR CDC47 HOMOLOG
258	63308	X65488_at	HETEROGENOUS NUCLEAR RIBONUCLEOPROTEIN U
259	63307	X15940_at	RPL31 Ribosomal protein L31
260	63307	X69150_at	GB DEF = Ribosomal protein S18
261	63286	M62762_at	ATP6C Vacuolar H+ ATPase proton channel subunit
262	63266	J04046_s_at	CALMODULIN
263	63265	U90426_at	Nuclear RNA helicase
264	63244	X76228_at	"ATP6E ATPase, H+ transporting, lysosomal (vacuolar proton pump) 31kD"
265	63233	X62691_at	40S RIBOSOMAL PROTEIN S15A
266	63224	D84557_at	P105MCM mRNA
267	63223	D13900_at	Mitochondrial short-chain enoyl-CoA hydratase
268	63213	X70218_at	"PPP4C Protein phosphatase 4 (formerly X), catalytic subunit"
269	63213	U30825_at	Splicing factor SRp30c mRNA
270	63213	D32129_f_at	"HLA-A MHC class I protein HLA-A (HLA-A28,-B40, -Cw3)"
271	63203	D87953_at	RTP
272	63192	L15189_s_at	MITOCHONDRIAL STRESS-70 PROTEIN PRECURSOR
273	63192	X81817_at	6C6-Ag mRNA
274	63181	HG3214-HT3391_at	Metallopanstimulin 1
275	63181	X71973_at	GPX4 Phospholipid hydroperoxide glutathione peroxidase
276	63161	X04526_at	"GNB1 Guanine nucleotide binding protein (G protein), beta polypeptide 1"
277	63161	U01038_at	PLK mRNA
278	63150	HG662-HT662_at	Epstein-Barr Virus Small Rna-Associated Protein
279	63140	U31930_at	DUT DUTP pyrophosphatase
280	63139	U10323_at	Nuclear factor NF45 mRNA
281	63119	X05908_at	ANX1 Annexin I (lipocortin I)
282	63118	M15661_at	RPL44 Ribosomal protein L44
283	63118	Z21507_at	EEF1D Eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
284	63108	U46751_at	Phosphotyrosine independent ligand p62 for the Lck SH2 domain mRNA
285	63097	U14970_at	RPS5 Ribosomal protein S5
286	63076	Y09022_at	Not56-like protein
287	63024	X78136_at	HnRNP-E2 mRNA
288	63014	L39874_at	DCTD Deoxycytidylate deaminase
289	63014	X74008_at	"PPP1CC Protein phosphatase 1, catalytic subunit, gamma isoform"
290	63014	U54778_at	14-3-3 epsilon mRNA
291	63013	AFFX-CreX-3_at	AFFX-CreX-3_at (endogenous control)
292	63003	M76378_at	FN1 Fibronectin 1
293	62993	M31013_at	"MYH9 Myosin, heavy polypeptide 9, non-muscle"
294	62992	M63573_at	PPIB Peptidylprolyl isomerase B (cyclophilin B)
295	62982	HG658-HT658_f_at	"Major Histocompatibility Complex, Class I, C (Gb:X58536)"
296	62982	U28386_at	RCH1 RAG (recombination activating gene) cohort 1
297	62982	HG110-HT110_s_at	Heterogeneous Nuclear Ribonucleoprotein A/B
298	62951	U86602_at	Nucleolar protein p40 mRNA
299	62930	Z50853_at	CLPP
300	62929	Y00764_at	ARH9 Aplysia ras-related homolog 9
301	62919	D00761_at	PSMA5 Proteasome component C5
302	62919	M20471_at	CLTA Clathrin light chain A
303	62898	Y00282_at	RPN2 Ribophorin II
304	62898	M88279_at	FKBP4 FK506-binding protein 4 (59kD)
305	62898	HG1322-HT5143_s_at	"Small Nuclear Ribonucleoprotein, Polypeptide C, Alt. Splice 2"
306	62897	U70660_at	Copper transport protein HAH1 (HAH1) mRNA
307	62867	S72008_at	CDC10 Cell division cycle 10 (homologous to CDC10 of S. cerevisiae
308	62867	U37022_rna1_at	Cyclin-dependent kinase 4 (CDK4) gene
309	62856	U94855_at	Translation initiation factor 3 47 kDa subunit mRNA
310	62846	M88108_at	P62 mRNA
311	62825	HG1862-HT1897_at	Calmodulin Type I
312	62825	HG4074-HT4344_at	Rad2
313	62814	D61380_at	DJ-1 protein
314	62793	U01691_s_at	"Annexin V (ANX5) gene, 5'-untranslated region"
315	62793	L06132_at	VDAC1 Voltage-dependent anion channel 1
316	62782	X15414_at	ALDR1 Aldehyde reductase 1 (low Km aldose reductase)
317	62772	M86400_at	"YWHAZ Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide"
318	62772	X60036_at	"PHC Phosphate carrier, mitochondrial"
319	62772	U51586_at	"Siah binding protein 1 (SiahBP1) mRNA, partial cds"
320	62772	M37583_at	H2AZ H2AZ histone
321	62761	HG3549-HT3751_at	Wilm'S Tumor-Related Protein
322	62741	M19645_at	78 KD GLUCOSE REGULATED PROTEIN PRECURSOR
323	62741	X66899_at	EWSR1 Ewing sarcoma breakpoint region 1
324	62740	S75463_at	"ELONGATION FACTOR TU, MITOCHONDRIAL PRECURSOR"
325	62730	X74801_at	"T-COMPLEX PROTEIN 1, GAMMA SUBUNIT"
326	62720	X62320_at	GRN Granulin
327	62720	M16342_at	HnRNP C2 protein mRNA
328	62709	U24704_at	Ras GTPase-activating-like protein (IQGAP1) mRNA
329	62688	M94880_f_at	"HLA-A MHC class I protein HLA-A (HLA-A28,-B40, -Cw3)"
330	62688	Z69043_s_at	mRNA translocon-associated protein delta subunit precursor
331	62677	hum_alu_at	hum_alu_at (miscellaneous control)
332	62657	D14694_at	PHOSPHATIDYLSERINE SYNTHASE I
333	62657	U79528_s_at	Sigma receptor mRNA
334	62646	M22538_at	NDUFV2 NADH dehydrogenase (ubiquinone) flavoprotein 2 (24kD)
335	62646	U61734_s_at	"(clone S31i125) mRNA, 3' end of cds"
336	62636	M83088_at	PGM1 Phosphoglucomutase 1
337	62636	U63743_at	Mitotic centromere-associated kinesin mRNA
338	62614	Z28407_at	RPL8 Ribosomal protein L8
339	62603	M57710_at	"LGALS3 Lectin, galactoside-binding, soluble, 3 (galectin 3) (NOTE: redefinition of symbol)"
340	62552	L08835_rna2_s_at	DM kinase gene (myotonic dystrophy kinase) extracted from Human myotonic dystrophy kinase (DM kinase) gene
341	62541	M29064_at	HNRPA2B1 Heterogeneous nuclear ribonucleoprotein A2/B1
342	62531	X01703_at	Alpha-tubulin mRNA
343	62531	U50079_s_at	GB DEF = Histone deacetylase HD1 mRNA
344	62510	X74795_at	CDC46 HOMOLOG
345	62499	M21259_at	SNRPE Small nuclear ribonucleoprotein polypeptide E
346	62499	D55654_at	"MDH1 Malate dehydrogenase 1, NAD (soluble)"
347	62478	L36151_at	PHOSPHATIDYLINOSITOL 4-KINASE ALPHA
348	62478	HG3033-HT3194_r_at	Spliceosomal Protein Sap 62
349	62468	U41515_at	Deleted in split hand/split foot 1 (DSS1) mRNA
350	62468	M81601_at	TRANSCRIPTION ELONGATION FACTOR S-II
351	62447	U41635_at	OS-9 precurosor mRNA
352	62436	D30655_at	EIF4A2 Eukaryotic translation initiation factor 4A (eIF-4A) isoform 2
353	62436	Z49099_at	Spermine synthase
354	62415	U09587_at	GARS Glycyl-tRNA synthetase
355	62415	Y10807_s_at	Suppressor for yeast mutant
356	62415	D14663_at	KIAA0107 gene
357	62405	U22055_at	100 kDa coactivator mRNA
358	62394	X13546_rna1_at	Put. HMG-17 protein gene extracted from Human HMG-17 gene for non-histone chromosomal protein HMG-17
359	62394	HG3514-HT3708_at	"Tropomyosin Tm30nm, Cytoskeletal"
360	62384	M75126_at	HK1 Hexokinase 1
361	62373	M16279_at	"MIC2 Antigen identified by monoclonal antibodies 12E7, F21 and O13"
362	62373	L17131_rna1_at	High mobility group protein (HMG-I(Y)) gene exons 1-8
363	62341	L33075_at	Ras GTPase-activating-like protein (IQGAP1) mRNA
364	62331	M80244_at	INTEGRAL MEMBRANE PROTEIN E16
365	62321	D64142_at	Histone H1x
366	62310	D26599_at	Proteasome subunit HsC7-I
367	62299	X05130_s_at	"P4HB Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)"
368	62289	U04241_at	Homolog of Drosophila enhancer of split m9/m10 mRNA
369	62279	M61764_at	"TUBG Tubulin, gamma polypeptide"
370	62279	D25328_at	"PFKP Phosphofructokinase, platelet"
371	62268	D89667_at	C-myc binding protein
372	62268	D23662_at	UBL1 Ubiquitin-like protein
373	62268	M57567_at	ARF5 ADP-ribosylation factor 5
374	62257	U94586_at	NADH:ubiquinone oxidoreductase MLRQ subunit mRNA
375	62247	D13118_at	ATP SYNTHASE LIPID-BINDING PROTEIN P1 PRECURSOR
376	62237	J02645_at	EIF2A Eukaryotic translation initiation factor 2A
377	62237	M63959_at	LRPAP1 Low density lipoprotein-related protein-associated protein 1 (alpha-2-macroglobulin receptor-associated protein 1
378	62224	L12711_s_at	TKT Transketolase (Wernicke-Korsakoff syndrome)
379	62216	X14684_s_at	SSB Sjogren syndrome antigen B (autoantigen La)
380	62215	Z12962_at	EEF1A1 Translation elongation factor 1-alpha-1
381	62195	HG3039-HT3200_at	Adp-Ribosylation-Like Factor
382	62174	D87989_at	UDP-galactose transporter related isozyme 1
383	62153	M94362_at	"LAMB2 Laminin, beta 2 (laminin S)"
384	62142	J02783_at	"P4HB Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), beta polypeptide (protein disulfide isomerase; thyroid hormone binding protein p55)"
385	62121	D38047_at	26S PROTEASOME REGULATORY SUBUNIT P31
386	62121	M94345_at	"CAPG Capping protein (actin filament), gelsolin-like"
387	62111	M59807_at	NATURAL KILLER CELLS PROTEIN 4 PRECURSOR
388	62100	X13794_rna1_at	Lactate dehydrogenase B gene exon 1 and 2 (EC 1.1.1.27) (and joined CDS)
389	62090	U43077_at	CDC37 homolog mRNA
390	62089	X80695_at	RPL27 Ribosomal protein L27
391	62079	L34587_at	"RNA polymerase II elongation factor SIII, p15 subunit mRNA"
392	62058	J05614_at	"GB DEF = Proliferating cell nuclear antigen (PCNA) gene, promoter region"
393	62058	U68566_at	"HS1 binding protein HAX-1 mRNA, nuclear gene encoding mitochondrial protein"
394	62057	X87212_at	CTSC Cathepsin C
395	62048	D31767_at	KIAA0058 gene
396	62048	U25182_at	Antioxidant enzyme AOE37-2 mRNA
397	62047	D90209_at	ATF4 CAMP-dependent transcription factor ATF-4 (CREB2)
