@relation 'Leukemia-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-V-R61,131,202,204,294,349,395,408,492,548,614,671,675,876,893,895,914,955,1049,1103,1376,1380,1425,1494,1581,1685,1696,1736,1794,1872,1892,1894,2069,2145,2168,2259,2584,2675,2690,2713,2715,2751,2846,2861,2880,2935,2972,2980,3058,3085,3128,3193,3196,3229,3240,3256,3283,3295,3302,3356,3390,3410,3454,3542,3581,3583,3698,3735,3792,3823,3856,3882,4012,4031,4050,4094,4112,4159,4168,4328,4361,4438,4539,4557,4561,4592,4601,4719,4721,4958,4994,5038,5078,5080,5124,5144,5149-5150,5214,5222,5276,5296,5387,5395,5439,5541,5544,5548,5656,5691-5692,5784,5862,5940,5950,5995,6000,6126,6187,6352,6404,6420,6427,6485,6506,6557,6579,6685,6694,6780,6830,6988,7002,7024,7064,7077,7130-weka.filters.unsupervised.attribute.Remove-V-R80,26,82,22,86,102,54,133,128,21,115,13,60,70,11,75,107,32,12,120,29,50,56,62,20,108,83,41,19,85,137'

@attribute X59417_at numeric
@attribute M11722_at numeric
@attribute X66401_cds1_at numeric
@attribute L20010_at numeric
@attribute X77533_at numeric
@attribute L06133_at numeric
@attribute U44378_at numeric
@attribute X12953_at numeric
@attribute X89101_s_at numeric
@attribute L19779_at numeric
@attribute M29610_s_at numeric
@attribute D86975_at numeric
@attribute U51711_at numeric
@attribute U81600_at numeric
@attribute D83657_at numeric
@attribute X03934_at numeric
@attribute X15331_s_at numeric
@attribute M28827_at numeric
@attribute D86970_at numeric
@attribute Z26491_s_at numeric
@attribute M20777_at numeric
@attribute U34879_rna1_at numeric
@attribute U46689_at numeric
@attribute U56244_at numeric
@attribute J04101_at numeric
@attribute D10326_s_at numeric
@attribute X74331_at numeric
@attribute U09579_at numeric
@attribute J00124_at numeric
@attribute X75917_at numeric
@attribute CLASS {ALL,AML}

@data
0.459966,0.615654,0.611141,0.282857,0.532258,0.366667,0.291105,0.142687,0.193377,0.166448,0.063692,0.460432,0.57958,0.260823,0.187057,0.015177,0.445255,0.538279,0.502957,0.19018,0.513138,1,0.598075,0.032632,0.65763,0.546159,0.484099,0.135417,0.508772,0.704607,ALL
0.100516,0.055498,0.129973,0.028889,0.444169,0.439394,0.242588,0.1522,0.04106,0,0.057215,0.647482,0.744745,0.402056,0.645609,0.01841,0.291515,0.391691,0.067334,0.171742,0.774343,0.721992,0.616125,0.003158,0.414349,0.682171,0.597173,0.04989,0.553606,0.685637,AML
0.087235,0.037662,0.036605,0.274921,0.413151,0.306061,0.067385,0.105826,0.107947,0.978089,0.065131,0.323741,0.66967,0.543831,0.037904,0.0185,0.281934,0.150742,0.298453,0.314895,0.460587,0.73444,0.351384,0.224211,0.637766,0.520554,0.540636,0.202851,0.307992,0.490515,AML
0.059335,0.015845,0.190716,0,0.295285,0.763636,0.199461,0.318668,0.372848,0.107662,0.055775,0.784173,0.495495,0.431818,1,0.029996,0.43385,0.690801,0.05505,0.467371,0.508501,0.883817,0.879663,0.297895,0.719093,0.534414,0.381625,0.212719,0.360624,0.463415,AML
0.129371,0.028505,0.266578,0.293651,0.349876,0.29697,0.272237,0.827586,0.43245,0.146091,0.048579,0.894484,0.855856,0.353355,0.184592,0.024787,0.139599,1,0.155596,0.69422,0.42813,0.647303,0.876053,0.225263,0.607151,0.288701,0.424028,0.239035,0.261209,0.739837,AML
0.084751,0.017915,0.095225,0.346032,0,0,0.509434,0.263971,0.466225,0.405675,0.106513,0.522782,0.861862,0.306277,0.037596,0.026403,0.803376,0.179822,0.265924,0.352807,0.166924,0.228216,0.447653,1,0.490769,0.325816,0.515901,0,0.45614,0.227642,AML
0.049207,0.006529,0.109284,0.125079,0.387097,0.227273,0.153639,0.10107,0.309934,0.545693,0.035984,0.129496,0.750751,0.550325,0.09245,0.016255,0.392336,0.612463,0.128526,0.230164,0.695518,0.394191,0.558363,0.364211,0.673989,0.65774,0.240283,0.16557,0.499025,0.647696,AML
0.208771,0.039892,0.085942,0.265079,0.671216,0.527273,0.172507,0.149822,0.544371,0.036875,1,0.508393,0.444444,0.263528,0.084438,0.02326,0.163321,0.330564,0.034349,0.083074,0.537867,0.680498,0.746089,0.136842,0.60645,0.967583,0.250883,0.008224,0.165692,1,AML
0.127938,0.017836,0.101061,0.415556,0.379653,0.560606,0.501348,0.368609,0.116556,0.10188,0.073048,0.330935,0.477477,0.238636,0.147304,0.335429,0.475821,0.447478,0.150591,0.075409,0.55796,0.904564,0.66065,0.137895,0.702267,0.814188,0.162544,0.148026,0.376218,0.691057,ALL
0.622014,0.470181,0.498939,0.607937,0.513648,0.878788,0.681941,0.435196,0,0.346985,0,0.544365,0.453453,0.261364,0.259168,0.014818,0.590328,0.405935,0.244995,0.417858,0.483771,0.991701,0.406739,0.311579,0.659032,0.653042,0.512367,0.193531,0.725146,0.639566,ALL
0.623256,0.40465,0.509549,0.488889,0.529777,0.590909,0.803235,0.568371,0.189404,0.173833,0.062253,0.330935,0.417417,0.363636,0.101695,0.093309,0.421077,0.545994,0.460191,0.311788,0.568779,0.755187,0.429603,0.027368,0.710446,0.77214,0.392226,1,0.709552,0.707317,ALL
0.273552,0.150967,0.170292,0.285714,0.599256,0.754545,0.237197,0.052319,0.243046,0.566827,0.016193,0.494005,0.432432,0.329545,0.152234,0.022542,0.309763,0.493175,0.072111,0.065258,0.476043,0.917012,0.499398,0.085263,0.586352,0.972986,0.222615,0.096765,0.612086,0.723577,ALL
0.09335,0.153117,0.207692,0.29619,0.602978,0.575758,0.132075,0.241379,0.204636,0.202546,0.036704,0.558753,0.333333,0.19697,0.127889,0.189672,0.203467,0.475964,0.143995,0.044334,0.607419,0.60166,0.486161,0.277895,0.760224,0.770261,0.14841,0.243969,0.711501,0.590786,ALL
0.286929,0.125727,0.169496,0.526984,0.456576,0.512121,0.355795,0.488704,0.175497,0.259097,0.064412,0.443645,0.483483,0.284091,0.056086,0.047777,0.471259,0.324036,0.173339,0.111664,0.055641,0.506224,0.441637,0.051579,0.688946,0.777073,0.275618,0.20614,0.335283,0.555556,ALL
0.278712,0.281392,0.42626,0.415238,0.600496,0.463636,0.334232,0.568371,0.405298,0.20206,0.064412,0.326139,0.621622,0.580087,0.051464,0.041042,0.785584,0.325816,0.181529,0.179407,0.488408,0.659751,0.425993,0.122105,0.747838,0.522199,0.466431,0.179276,0.452242,0.379404,ALL
0.317695,0.149614,0.257029,0.352063,0.555831,0.575758,0.269542,0.158145,0.200662,0.201283,0.026988,0.321343,0.48048,0.222403,0.142065,0.673193,0.627281,0.291988,0.14081,0.316967,0.338485,0.858921,0.758123,0.093684,0.452676,0.46958,0.34629,0.142818,0.391813,0.411924,ALL
0.72855,0.241659,0.300265,0.339683,0.761787,0.8,0.390836,0.249703,0.303311,0.096536,0.078805,0.256595,0.429429,0.819264,0.037596,1,0.963504,0,0.101911,0.037912,0.242658,0.315353,0.2142,0.636842,1,0.533709,0.766784,0.054825,0.444444,0,ALL
0.355628,0.143005,0.226525,0.160952,0.370968,0.854545,0.307278,0.261593,0.539073,0.128844,0.070889,0.191847,0.654655,0.49026,0.063174,0.027661,0.533303,0.206528,0.11556,0.184794,0.255023,0.676349,0.77136,0.584211,0.890395,0.465586,0.353357,0.229989,0.877193,0.346883,ALL
0.488916,0.171033,0.257029,0.278413,0.545906,0.566667,0.592992,0.246136,0.133113,0.130399,0.04462,0.280576,0.621622,0.376082,0.158706,0.016075,0.368613,0.404748,0.198817,0.155169,0.491499,0.755187,0.719615,0.184211,0.731012,0.721165,0.424028,0.294682,0.239766,0.560976,ALL
0.391267,0.208934,0.266844,0.326667,1,0.769697,0.458221,0.061831,0.303311,0.033863,0.080245,0.407674,0.507508,0.352273,0.069337,0.62802,0.640511,0.4273,0.078025,0.014087,0.318393,0.892116,0.758123,0.428421,0.763029,0.513977,0.254417,0.118147,0.263158,0.173442,ALL
0.518727,0.068875,0.191777,0.38381,0.225806,0.712121,0.549865,0.296076,0.438411,0.195647,0.082404,0.688249,0.687688,0.294372,0.004314,0.034216,0.577555,0.294955,0.148999,0.217112,0.250386,0.846473,0.777377,0.609474,0.717925,0.488137,0.526502,0.229167,0.247563,0.189702,ALL
0.188611,0.343817,0.27374,0.147619,0.924318,0.50303,0.331536,0.21522,0.433775,0.0463,0.198273,0.489209,0.252252,0.890152,0.003082,0.055052,0.87865,0.076558,0.102366,0.091983,0.267388,0.381743,0.45367,0.971579,0.579808,0.373033,0.279152,0.081414,0.378168,0.02981,ALL
0.734091,0.130823,0.14191,0.804444,0.533499,0.815152,0.369272,0.332937,0.372848,0.063013,0.089241,0.338129,0.432432,0.452381,0.066872,0.998833,0.498631,0.365579,0.136033,0.157448,0.500773,0.775934,0.619735,0.212632,0.795046,0.401926,0.954064,0.166118,0.19883,0.254743,ALL
0.48777,0.09746,0.209019,0.268571,0.709677,0.521212,0.177898,0.141498,0.26755,0.252684,0.019791,0.338129,0.498498,0.386364,0.087827,0.699057,0.458029,0.278932,0.036397,0.025689,0.744977,0.759336,0.173285,0.153684,0.758588,0.636599,0.303887,0.170504,0.582846,0.558266,ALL
0.615517,0.082172,0.000531,0.540317,0.715881,0.548485,0.415094,0.448276,0.2,0.036292,0.02303,0.179856,0.372372,0.500541,0.100462,0.628918,0.428832,0.324629,0.060737,0.023617,0.358578,0.510373,0.554753,0.137895,0.835943,0.702373,0.438163,0.122807,0.339181,0.384824,ALL
0.071374,0.213791,0.158355,0.018413,0.57072,0.533333,0.175202,0.043995,0.227815,0.51732,0.030587,0.316547,0.438438,0,0.165794,0.020117,0.416971,0.585757,0.089172,0.088668,0.562597,0.614108,0.737665,0.276842,0.672353,0.641062,0.060071,0.222039,0.612086,0.680217,ALL
0.730365,0.801258,0.649072,0.582222,0.585608,1,0.784367,0.353151,0.143709,0.18112,0.061893,0.326139,0.384384,0.27868,0.08228,0.021913,0.718522,0.424332,1,0.354879,0.369397,0.780083,0.820698,0.226316,0.671185,0.734555,1,0.434211,0.621832,0.726287,ALL
0.158322,0.040529,0.437135,0.373016,0.652605,0.418182,0.366577,0.20214,0.287417,0.016518,0.075207,0.510791,0.459459,0.356061,0.131279,0.484149,0.135036,0.350742,0.063239,0.155583,0.703246,0.79668,0.541516,0.327368,0.67469,0.502701,0.766784,0.092654,0.321637,0.439024,ALL
0.686891,0.519309,1,0.466984,0.780397,0.524242,0.698113,0.714625,0.224503,0.112957,0.030946,0.786571,0.600601,0.070887,0.077042,0.047777,0.449361,0.367359,0.478844,0.394241,0.584235,0.892116,0.805054,0.226316,0.672821,0.66972,0.515901,0.316338,0.649123,0.615176,ALL
0.571852,0.565093,0.348276,0.158095,0.478908,0.572727,0.256065,0.464923,0.280132,0.126123,0.06729,0.786571,0.264264,0.573052,0.053313,0.036372,0.569343,0.312166,0.149227,0.367309,0.579598,0.19917,0.577617,0.32,0.76186,0.70848,0.300353,0.055921,0.961014,0.547425,ALL
0.22511,0.118322,0.352255,0.619365,0.166253,0.8,0.897574,1,0.401987,0.235048,0.148615,0.611511,0.102102,0.858766,0.010169,0.569017,1,0.320475,0.215878,1,0.007728,0.713693,0.592058,0.901053,0.34237,0.017148,0.75265,0.09841,0.709552,0.406504,ALL
0.112173,0.009316,0.391777,0.096508,0.552109,0.548485,0.269542,0.085612,0.210596,0.02094,0.037783,0.340528,0.33033,0.370671,0.06225,0.019578,0.454836,0.381602,0.041856,0.032111,0.486862,0.655602,0.522262,0.022105,0.658565,0.84825,0.551237,0.173794,0.298246,0.479675,ALL
0.60988,0.632057,0.507958,0.294603,0.542184,0.560606,0.183288,0.315101,0.227152,0.02643,0.179561,0.407674,0.324324,0.299242,0.070878,0.015896,0.364964,0.403561,0.202229,0.176507,0.561051,0.697095,0.755716,0.065263,0.680065,0.699789,0.466431,0.153235,0.136452,0.712737,ALL
0.719473,0.890039,0.675332,1,0.558313,0.915152,1,0.969084,0.523179,0.277802,0.320619,0.609113,0.291291,0.438312,0.032049,0.031612,0.227646,0.388724,0.957689,0.796354,0.338485,0.647303,0,0.061053,0.627483,0.552972,0.915194,0.057292,0.536062,0.647696,ALL
0.539557,0.165778,0.093899,0.367937,0.751861,0.339394,0.493261,0.208086,0.121192,0.106836,0.081324,0.501199,0.555556,0.336039,0.069337,0.015716,0.212591,0.417804,0.046406,0.430081,0.199382,0.742739,0.600481,0.270526,0.709745,0.856942,0.420495,0.117599,0.132554,0.663957,ALL
0.057328,0.037503,0.044032,0.079048,0.476427,0.409091,0.264151,0.058264,0.23245,0.112131,0.055056,0.52518,0.387387,0.298701,0.04037,0.007364,0.390511,0.380415,0.096224,0.002693,0.380216,0.651452,0.576414,0.356842,0.720729,0.755462,0.240283,0.319079,0.350877,0.666667,ALL
0.223963,0.084322,0.061273,0.40381,0.621588,0.781818,0.237197,0.128419,0.374172,0.034543,0.050738,0.616307,0.561562,0.031385,0.07735,0.595689,0.609945,0.421958,0.059145,0.009737,0.33694,0.755187,0.56438,0.174737,0.744333,0.594785,0.024735,0.04057,0.660819,0.523035,ALL
0.357443,0.149693,0.281432,0.468889,0.586849,0.136364,0.811321,0.424495,0.162252,0.294661,0.033105,0.083933,0.498498,0.336039,0.04869,0.018051,0.568887,0.402967,0.367379,0.506319,0.058733,0.556017,0.927798,0.327368,0.714653,0.664083,0.55477,0.28591,0.460039,0.601626,ALL
0.361074,0.242217,0.128912,0.12127,0.552109,0.272727,0.210243,0,0.491391,0.533061,0.127024,0.268585,0.384384,0.412338,0.036364,0.031971,0.248175,0.9727,0.169927,0.199088,0.451314,0.813278,0.652226,0.068421,0.650853,0.728212,0.134276,0.288651,0.467836,0.447154,ALL
0.302217,0.454415,0.535544,0.308571,0.594293,0.363636,0.148248,0.191439,0.170861,0.287276,0.055416,0.465228,0.369369,0.088203,0.036672,0.022272,0.372263,0.332344,0.350546,0.246944,0.678516,0.593361,0.507822,0.123158,0.410376,0.751468,0.34629,0.248629,0.707602,0.468835,ALL
0.163482,0.218728,0.127321,0.239683,0.400744,0.706061,0.455526,0.219976,0.264901,0.057183,0.102195,0.095923,0,0.679654,0.036364,0.041581,0.279653,0.076558,0.227252,0.112285,0.017002,0.655602,0.312876,0.398947,0.683571,0.12685,0.706714,0.049068,1,0.249322,ALL
0.105484,0,0.124138,0.101587,0.455335,0.466667,0.28841,0.434007,0.456954,0.339698,0.219503,0.261391,0.537538,0.551407,0.089676,0.037988,0.717609,0.178042,0.068244,0.152268,0.46677,0.605809,1,0.142105,0.695957,0.527367,0.265018,0.356908,0.653021,0.414634,AML
0.13969,0.043714,0.064191,0.090159,0.689826,0.518182,0.16442,0.342449,0.403311,0.370986,0.349766,0.8753,0.474474,0.194805,0.079199,0.009699,0.159672,0.468249,0.044359,0.099026,0.854714,0.941909,0.720818,0.048421,0.705305,0.829927,0.257951,0.107456,0.282651,0.734417,AML
0.146092,0.05287,0.114058,0.090159,0.311414,0.545455,0.167116,0.576694,0.184768,0.980761,0.123786,0.496403,0.543544,0.506494,0.114022,0.013651,0.108577,0.252226,0.024113,0.229749,0.421947,0.821577,0.595668,0.196842,0.632858,0,0.063604,0.361568,0.350877,0.552846,AML
0.160998,0.050721,0.117241,0.214603,0.246898,0.545455,0.380054,0.24019,0.521192,0.231793,0.062612,0.719424,0.342342,0.247294,0.09584,0.022721,0.448449,0.235608,0.084622,0.21214,0.457496,0.551867,0.510229,0.230526,0.790372,0.45478,0.187279,0.033169,0.20078,0.495935,AML
0.106535,0.122303,0.157029,0.260635,0.241935,0.445455,0.212938,0.292509,0.597351,0.516834,0.06873,0.561151,0.354354,0.32197,0.078891,0.028648,0.552007,0.532938,0.19222,0.178579,0.397218,0.585062,0.330927,0.275789,0.452442,0.07705,0.070671,0.251371,0.424951,0.398374,AML
0.141792,0.024683,0.085676,0.071429,0.236973,0.233333,0.606469,0.432818,1,0.168003,0.246492,0.642686,0.873874,0.674242,0.175963,0.03736,0.738139,0.072404,0,0.062358,0.272025,0.485477,0.456077,0.166316,0.660668,0.37961,0.420495,0.471217,0.120858,0.392954,AML
0.065259,0.056215,0.061008,0.283492,0.387097,0.487879,0.237197,0.453032,0.371523,0.957101,0.071608,0.40048,0.213213,0.705628,0.036672,0.029906,0.377281,0.281306,0.203594,0.454941,0.463679,0.46473,0.381468,0.457895,0.910026,0.540756,0.275618,0.062774,0.309942,0.474255,AML
0.037359,0.020225,0.066578,0.293016,0.413151,0.239394,0.19407,0.099881,0.564238,0.026915,0.536884,0.592326,0.600601,0.472403,0.048998,0.019129,0.424726,0.315727,0.037762,0.197017,0.176198,0.136929,0.363418,0.538947,0,0.568241,0.431095,0.11102,0.167641,0.566396,AML
0.148003,0.056294,0.15305,0.166667,0.348635,0.448485,0.113208,0.877527,0.449007,0.434873,0.065491,0.031175,0.471471,0.598485,0.720185,0.021913,0.805657,0.258754,0.042539,0.270147,0.420402,0.419087,0.505415,0.405263,0.788969,0.427531,0.328622,0.530154,0.28655,0.341463,AML
0.04099,0.043714,0.047745,0.264762,0.351117,0.715152,0.183288,0.48038,0.601987,0.776903,0.427132,0.597122,0.336336,0.314394,0.146379,0.012663,0.578011,0.289021,0.006597,0.045991,0.414219,1,0.565584,0.192632,0.615331,0.357059,0.038869,0.179002,0.744639,0.181572,AML
0,0.033283,0.018568,0.047937,0.403226,0.669697,0.280323,0.208086,0.804636,0.489384,0.693055,0.529976,0.570571,0.564394,0.025886,0.046071,0.577099,0.328783,0.037307,0,0,0.518672,0.148014,0.161053,0.193036,0.510453,0.388693,0.073191,0.844055,0.501355,AML
