@relation 'DLBCL_transformed_data_johnson-weka.filters.unsupervised.attribute.Remove-V-R11,66,78,128,131,143,148,170,187,196,238,248,306,311,313-314,354,370,390,394,412,447,471,478,502,513,515,522-523,540,561,563,586,596,620,622,635,642,662,670,695,712,718,752,786,794,797,808,811,816-817,823,842,855,910,924,995,1017,1026,1038,1071,1074,1078,1093,1107,1117,1129,1149,1167,1169,1178,1214,1226,1237,1240,1245,1268,1325,1329,1343,1470,1488,1541,1552,1574,1580,1602,1626,1643,1657,1694,1701,1711,1735,1745,1749,1765,1778,1789,1853,1878,1891,1917,1931-1932,1936,1944,1957,1979,2003,2018,2025,2056,2076-2077,2093,2119,2131,2156,2159,2176,2193,2205,2220,2224,2236,2258,2262,2268,2304,2317,2362,2400,2409,2421,2423,2462,2469,2500,2561,2568,2597,2605,2643,2646,2648-weka.filters.unsupervised.attribute.Remove-V-R47,20,128,73,58,114,131,63,86,53,84,95,137,77,15,141,88,96,55,81,29,37,144,34,116,51,19,39,79,145-146'

@attribute L25876_at numeric
@attribute D87119_at numeric
@attribute X67951_at numeric
@attribute M74093_at numeric
@attribute M25753_at numeric
@attribute X14046_at numeric
@attribute X74795_at numeric
@attribute M32402_at numeric
@attribute U28831_at numeric
@attribute L37043_at numeric
@attribute U24577_at numeric
@attribute U52112_rna5_at numeric
@attribute X95073_at numeric
@attribute M86752_at numeric
@attribute D78011_at numeric
@attribute Z24727_at numeric
@attribute U33839_at numeric
@attribute U52513_at numeric
@attribute M13560_s_at numeric
@attribute U14518_at numeric
@attribute HG3928-HT4198_at numeric
@attribute J04599_at numeric
@attribute Z84497_s_at numeric
@attribute J03191_at numeric
@attribute X15940_at numeric
@attribute L32140_at numeric
@attribute D87024_at numeric
@attribute K02777_s_at numeric
@attribute S60415_at numeric
@attribute Z97054_xpt2_at numeric
@attribute Class {Cancer,normal}

@data
-1.928134,-0.148324,-1.848897,-3.060964,-1.528898,-1.300661,-0.448047,-0.082509,-0.334689,-1.124249,-0.876334,-2.229048,-0.177107,-2.21734,-1.372352,-1.500534,-0.338332,-0.726258,-2.127233,-1.084574,-2.13893,-3.050943,-1.442632,-2.062446,-1.974722,1.481083,-3.465934,-1.2327,-0.329689,-1.875282,normal
-1.233904,0.080742,-0.762947,-1.629927,-0.598946,0.776436,-2.19526,-0.490658,-0.57565,-0.94673,-1.198123,-0.50983,2.807651,-1.274393,2.080177,-0.114837,-0.661678,-0.016289,0.595925,-1.005401,0.524539,-1.97623,-1.242566,-1.168322,0.79768,-1.645549,-0.000407,1.679229,2.69613,1.127268,normal
-1.348986,1.114124,-1.054862,-0.909751,-0.652341,0.851701,-0.822909,0.152111,-0.352747,-0.443385,-0.907128,-1.403682,0.089294,-1.312069,0.602221,-0.111693,-0.879025,-0.084411,0.595925,-0.582023,-0.321014,-1.015352,0.08517,-0.555799,0.79768,0.681106,-0.014995,-0.36269,0.5231,-0.872986,normal
-0.284669,-0.028491,1.165509,-0.912492,0.362844,-1.415614,0.318541,-0.974625,0.682089,0.713721,1.636621,0.773126,-1.422331,0.53397,-1.319901,1.793091,-0.082608,1.521509,0.595925,0.38067,-0.08973,-0.551228,-2.39177,0.431416,0.79768,-0.981566,-0.327515,-1.776145,-1.198676,0.198293,Cancer
-0.840802,-1.552704,-0.914968,-0.624495,-1.568779,-1.087634,-0.969021,1.246577,-1.295547,-0.922609,-0.736419,1.475181,-0.090314,-1.552336,-0.043469,-0.74203,-0.29321,0.645891,-1.921845,-0.876761,-1.350456,0.580559,0.991624,-1.041494,-0.619085,0.513014,2.672684,0.10066,0.934809,-1.221479,Cancer
-0.252706,0.547466,0.790199,-0.430511,0.067604,-1.635669,0.167576,-0.353902,0.579764,0.105751,1.239768,-0.458225,0.287399,-0.439906,-0.873402,1.179328,1.201078,1.487754,0.595925,-0.621519,0.902877,-0.784995,-1.459639,0.375532,-0.695896,-1.404911,0.024932,-1.243339,-1.748893,-0.843438,Cancer
-0.123273,0.999925,-0.256744,-0.240065,0.396065,1.492938,0.466517,-1.215073,-0.792253,0.977246,-0.122998,1.05584,0.505402,0.841643,0.333602,-0.867159,2.276755,-0.184399,0.595925,-0.223599,-1.161297,0.278337,0.661135,0.226849,0.79768,-0.653796,0.530311,0.462516,-0.633868,0.319132,Cancer
-1.331453,-0.862055,-1.626373,-1.329647,-1.111977,-0.671739,-0.914605,0.309393,-0.735851,-1.035407,-1.402089,0.403225,-3.180362,-1.577599,-0.107147,-0.771169,-0.293016,0.322139,-1.840432,-1.564687,-1.149077,0.049357,0.331456,-1.547979,0.79768,-0.305063,1.08438,0.456411,-1.994278,-1.261264,Cancer
2.284796,0.143524,1.22197,1.863627,1.918019,1.371894,1.009442,-0.468827,0.958394,0.086039,-0.127339,0.346695,0.650223,1.895265,0.000025,0.307512,-0.319464,-1.670322,0.595925,1.792518,1.926404,0.173086,-0.747421,1.307094,-1.273699,0.91841,-0.382771,-0.982891,-0.449608,0.973605,Cancer
0.814477,0.178996,1.071434,1.995838,0.502779,0.294669,2.335499,-0.140671,2.094355,1.201648,0.840543,-0.260872,0.326273,1.551322,0.648394,-0.007186,1.044621,1.369622,0.595925,1.350388,1.066965,-0.890237,-0.785073,0.076524,-1.135067,0.823984,-0.137016,-0.969728,0.245864,1.330052,Cancer
0.74164,2.000809,1.464891,1.687685,1.30122,0.838716,1.378825,0.683002,0.537406,1.566388,1.255793,-0.032695,0.075073,1.175257,0.062971,1.313205,0.207019,0.234526,0.595925,0.949972,0.801855,-0.609556,0.808367,1.307094,0.79768,0.072187,1.150534,-0.507048,0.482511,1.586491,Cancer
0.005282,-1.454469,-0.556707,0.540142,-0.009353,0.789632,0.773371,-0.269715,-0.327757,1.552583,-0.712176,0.077561,-0.059824,-0.100835,-0.259006,-1.731855,0.349192,-1.024605,-0.703037,-0.104525,0.409439,0.3636,-0.718484,0.818353,-1.405748,0.079046,-0.111328,-0.893492,-0.116393,-0.385469,Cancer
0.495141,-0.97227,-0.279085,0.951141,0.895434,-1.0103,-0.535588,-1.060026,-0.858489,2.221228,0.041321,-1.579037,-1.47188,0.79721,-1.452487,1.591938,0.038803,-0.900589,-1.340237,0.971349,1.753846,-0.107897,-1.335887,-0.533482,-0.660945,-0.88926,-0.845206,-0.714391,0.649142,1.258708,Cancer
0.194239,-0.773386,-0.544698,0.570572,-0.175849,-0.573777,-1.021702,-0.344773,-0.506064,-1.340217,0.25777,-0.776961,-2.168033,-1.142706,0.502195,0.266338,-1.105825,-0.08933,-1.417316,0.395612,-0.408695,-0.524335,0.532429,-0.952202,0.79768,-1.303375,-0.617875,-0.035104,-0.303014,-1.525629,Cancer
-0.039269,0.759347,0.266104,1.427427,0.015084,-0.164682,0.610143,0.161751,1.135136,0.432706,0.246265,0.928852,0.934009,1.033937,0.972108,0.327028,0.957027,-0.020654,0.595925,1.192831,1.538036,0.093727,-0.276541,0.925127,-1.008838,-0.53988,-0.404976,-0.591012,0.655147,0.625254,Cancer
-0.739658,0.927316,-0.815612,-1.012645,-0.840189,1.492938,0.01277,-0.096435,-0.494096,-0.583381,-1.17137,-0.688323,0.487721,-0.326438,0.152457,-0.644137,-0.616444,-1.716523,0.595925,-0.532606,-1.443864,1.064596,2.666595,0.473924,-0.650803,1.400424,1.860717,0.730574,0.158355,-0.020555,normal
-1.251662,1.602851,-1.518731,-0.683659,-0.778315,0.536292,-1.313818,-1.770379,0.753451,-0.559887,-0.542568,0.225872,0.021694,-0.406735,-1.214549,0.129999,0.052202,-0.712689,0.595925,-1.542066,-0.194112,0.679188,1.12969,-0.163347,-0.642152,-0.349409,-0.394254,0.95751,-0.775215,0.522362,normal
-0.002552,1.568085,-0.23773,-0.15401,0.13925,1.428279,-0.436635,-1.989173,1.49046,0.007578,-0.694694,0.77248,1.089531,0.663237,-0.189538,0.757299,1.088536,-1.74239,0.595925,-0.197394,0.85741,-0.689858,0.832133,0.068515,0.79768,0.224787,-0.753438,1.77377,0.195877,0.280311,normal
-0.180999,0.604641,-0.262001,-0.599998,-0.431812,0.817848,-0.537237,-1.779191,-0.328104,-1.375856,-0.443955,-0.302219,0.284706,-0.76532,-1.483166,-0.161477,-0.314795,-0.229905,0.595925,-0.29028,0.525293,-0.436642,0.770308,-0.426789,0.79768,0.986746,-1.215756,0.510118,0.235106,-1.420054,normal
0.293751,0.536638,1.247165,1.871565,0.549047,-1.679146,0.179934,0.65752,1.506506,0.654021,1.839712,0.075232,-0.919953,0.516319,0.642039,-1.170606,1.013986,1.395805,0.595925,1.469629,1.461507,-0.744232,-1.090545,1.307094,0.79768,-0.969197,-1.541109,-0.78373,1.166559,0.374769,Cancer
0.587022,-1.020093,-0.473215,-0.385931,0.301502,1.492938,0.529524,0.926256,-0.297113,0.146225,-0.611033,2.107534,0.611799,0.44005,-1.039302,-1.033392,0.606425,0.147551,0.595925,0.085642,-0.603594,-0.189806,0.763515,0.94592,0.461023,0.889708,0.996044,0.423923,0.133827,0.164209,Cancer
-0.701749,-0.772015,-1.264579,-0.615733,-0.820199,-1.655179,-1.433409,0.689904,-2.361765,-0.999825,-1.383991,0.845424,-0.662145,-1.004619,0.523089,-1.638463,-0.042954,-1.531368,-1.929162,-0.659049,-1.001682,1.61406,-0.215446,-1.668739,-1.51246,0.644019,1.193123,-2.061879,0.295456,-1.578233,Cancer
0.425177,-0.414258,-0.853977,-0.136118,-0.918428,-1.482049,-1.270259,0.551226,-1.123035,-1.453999,-0.30475,0.784524,-0.741742,-1.353532,1.525867,0.82097,-0.126225,-0.578423,-2.037481,-0.989278,-0.186682,0.961744,-0.361247,-1.092069,-0.712463,-0.899156,0.047207,0.239649,-1.926471,-1.549597,Cancer
0.857341,-0.852046,0.874676,-0.301706,0.961341,0.740361,0.213718,0.389552,-0.552529,0.171488,0.931721,-1.473275,-2.011254,0.043098,-0.317329,-1.450924,-1.078492,-0.843794,0.595925,0.383755,-0.728732,-0.405907,-0.684834,-0.592814,0.79768,0.809581,0.948419,0.252336,-0.538231,0.015678,Cancer
-1.71125,-0.677412,-0.897637,0.273663,-0.958434,-1.659844,0.773238,1.249335,-0.97301,-0.500966,-1.924062,-0.39317,-1.001482,-0.294224,0.691642,-1.52707,-1.53063,0.001995,-1.431838,-0.35994,0.061902,-0.982389,-1.423915,-1.066598,-1.957858,0.673585,1.062522,-1.84197,0.46737,-1.22593,Cancer
0.19062,0.953469,0.896707,0.764376,-0.071252,-0.721698,0.425701,2.346929,1.679646,0.534876,1.696324,-0.068225,2.531915,0.96504,0.854852,0.417999,0.212048,0.448009,0.595925,0.243724,0.654111,1.463109,0.794834,1.307094,-0.750904,0.958985,-0.59235,-0.579375,2.604904,1.078327,Cancer
-0.368082,0.752648,1.547063,0.906953,-0.069133,1.492938,2.170506,-0.971322,1.775974,0.462126,1.962787,-0.370653,-0.207031,0.569702,-1.276657,-0.388257,-0.102507,1.187315,0.595925,0.746614,2.101009,-0.978528,-1.63326,1.307094,0.79768,-2.593572,-0.124698,-0.620252,-3.497089,0.462881,Cancer
1.498169,-1.354068,1.107389,1.038544,1.001244,1.22535,1.117488,0.969811,0.109277,0.868325,0.231156,-0.019111,-0.342201,0.964976,0.72324,2.049928,0.173636,0.680487,0.595925,0.916795,0.670949,1.911297,-0.222344,1.307094,0.79768,1.128735,-0.186612,0.465096,-0.080214,1.394454,Cancer
0.969784,-0.085896,0.951963,0.662504,1.696108,-0.358797,0.127041,-0.618496,-0.784559,0.793018,-0.26796,-0.177489,-0.02586,0.874561,-0.344748,-0.827056,0.077057,1.421093,0.595925,1.23132,0.368108,-0.894765,-0.569641,1.307094,0.79768,-1.502925,-0.624925,1.444145,0.004407,-0.30169,Cancer
-0.402522,-0.832249,-0.056937,-0.680671,-0.002818,-0.79069,-0.304582,-0.226364,-0.02848,0.46623,1.275314,1.961272,0.450165,0.346335,0.340301,0.016031,0.847701,0.239315,0.595925,-0.738716,-0.700455,1.672749,1.046817,-0.502694,0.79768,-0.891603,1.424973,0.320425,0.415805,-0.102091,Cancer
-1.617402,0.219291,-1.515567,-0.935212,-1.450779,0.61733,-1.598832,0.080342,-0.145614,-1.317194,-1.269529,-0.640077,-0.377826,-1.466345,-0.007862,-0.057584,0.425709,0.461127,-0.946134,-2.336402,0.320302,-0.55,-1.277493,-1.73913,-0.725836,-0.319506,-0.059426,0.392243,0.012297,-0.816108,normal
-0.943752,-0.722019,-1.667373,-1.283924,-1.479051,-0.039819,-2.290405,0.201276,-0.763928,-1.344494,-1.658205,-0.802333,-0.452496,-1.674908,0.530269,-0.418031,-1.91663,-0.854505,-1.141273,-1.119088,-1.52237,0.641711,0.380971,-1.571669,-1.528233,-0.03806,0.555111,-0.507189,-0.859968,-1.025769,normal
-1.892075,-0.853951,-1.605671,-1.207597,-1.726949,-0.327122,-0.94651,0.004113,-0.039264,-1.927334,-1.094076,-0.303402,-1.031035,-1.173227,-0.338848,-0.168958,-2.627984,0.140992,-1.77982,-1.537298,0.060629,-0.786321,-0.139324,-1.642149,-1.807628,-0.943524,-0.198328,0.73799,0.33276,-0.880537,normal
-0.831181,1.613114,-0.662786,-0.020145,-2.13228,-0.034131,-0.434969,0.28623,0.906841,-0.125338,-0.952824,-0.730071,0.716245,-0.588093,1.407734,1.030953,0.394573,-0.052693,0.595925,-0.219838,0.868979,-0.494885,1.513737,-0.202202,0.79768,3.450811,-0.374672,1.576479,-0.649392,-0.249763,normal
2.172521,0.596582,1.712982,0.352725,2.044159,0.108319,1.564958,-0.511849,0.648106,0.607289,1.454414,-0.597213,0.210468,0.588757,0.357674,0.932476,-0.493142,0.720661,0.595925,1.815672,0.484796,0.833612,0.029377,1.307094,0.79768,0.335116,-0.21286,0.160885,-0.069108,0.890026,Cancer
0.692152,-1.282491,0.145839,0.276446,1.241096,-1.127196,0.455423,2.226519,-1.309401,1.698576,0.513556,1.164485,1.272985,-0.441041,-0.360657,0.377947,0.009329,-0.331544,-1.423552,0.883511,0.12783,0.525987,0.268867,-0.432954,0.79768,0.618772,-0.480428,-0.129174,0.599038,-0.380223,Cancer
0.191455,-0.554317,0.75907,-0.221383,0.654539,-0.286342,0.742191,-0.734636,-0.251249,0.909297,1.287634,-0.450359,-0.45005,0.74453,-0.60503,1.715807,-0.919539,0.484368,0.595925,0.009387,-0.41621,0.745679,-0.232477,0.105781,-1.416674,0.840904,-0.554872,1.146037,-1.017609,0.820277,Cancer
0.279112,0.487614,0.31294,-0.365514,-0.217678,-1.616563,-0.759799,0.572102,-2.323049,-0.796877,-0.917793,0.678905,-0.019021,-1.139301,0.988729,-0.769888,-0.565841,-0.706209,0.595925,-0.141431,-0.443829,-0.246299,-0.587461,-0.441543,-0.787452,-1.128185,-0.148526,-2.093439,0.400704,-1.073583,Cancer
1.114315,0.191114,1.575307,0.097443,1.377744,-0.258729,1.06138,0.186881,0.438009,1.139044,0.653838,-0.27561,-0.768211,0.538723,2.501628,1.672184,-0.608841,0.296681,0.595925,1.057372,-1.042744,0.489158,-0.818335,1.072117,0.79768,-1.216475,0.038081,0.0119,-0.984649,1.460926,Cancer
-0.082538,0.799698,0.968529,0.48079,-1.039166,-0.979807,-0.150203,0.579874,0.968858,-0.240896,1.235414,0.244826,1.544047,-0.778416,1.754303,-0.333336,1.62661,1.329602,0.595925,-0.976412,0.514461,-0.8258,0.115875,0.22999,0.79768,0.831016,1.415097,2.423432,1.127484,0.290694,Cancer
0.257226,-0.60196,-0.260975,0.308318,-0.424869,0.655373,-0.261756,1.331306,-0.079276,-0.747658,-0.478876,0.83329,0.118291,0.236723,1.545673,-1.298443,0.504979,0.102462,0.595925,0.077478,0.548798,0.286361,0.947299,0.754026,0.79768,0.811894,0.289021,0.166733,1.02828,-0.454092,Cancer
0.975253,-0.71413,-0.119527,-0.221871,0.190242,-0.107002,0.403835,0.200316,-0.913291,-1.737962,0.121154,3.362456,0.900209,0.088216,0.078631,-0.953601,2.628647,-1.504764,0.595925,0.139619,-0.76655,-0.124417,0.24333,-0.735668,0.79768,1.251127,0.305014,-0.165158,0.428702,-0.987515,Cancer
0.659615,0.6123,-0.453037,-1.04542,0.827697,-0.604695,0.417383,0.82585,1.278076,0.438813,-0.109245,-0.242873,0.158733,-0.123662,-0.02025,-1.476077,0.09822,-0.609537,0.595925,1.305359,0.039812,0.344281,-0.175957,-0.961029,0.79768,0.19759,0.793274,-1.13957,0.069756,-0.755386,Cancer
0.105998,-0.962875,-1.162882,-0.37092,-0.016201,1.213235,0.351877,-0.058801,-0.713417,1.11898,-1.42618,-0.339479,-0.281354,0.315695,0.767674,-1.72367,-1.148246,-0.623462,-1.825342,0.079114,-1.969042,0.973899,1.273657,-0.013024,-0.991432,0.246194,0.928391,-1.428295,-0.324625,0.213835,Cancer
0.540459,0.231588,1.316256,1.297113,0.497297,-0.996231,1.26073,-1.092372,1.053827,-0.185561,1.438473,0.134253,-0.937721,0.636381,0.377032,0.529235,0.240651,1.422237,0.595925,1.002929,1.014688,0.499672,-1.719109,1.307094,0.474502,-0.309305,-0.690748,-0.756559,-0.535482,0.420404,Cancer
-0.2315,0.551179,-0.733394,-1.003042,-0.417098,0.808591,-1.089569,-0.696273,0.08596,-0.210058,0.068497,-0.137802,0.377578,-0.433698,-0.672806,0.832131,-0.812742,-0.194358,0.595925,-0.821901,0.474403,0.02971,1.214619,-0.233715,0.79768,0.665776,-0.684296,0.733032,1.951898,0.267521,normal
-1.596976,0.266377,-1.107343,-1.329325,-1.33434,0.210335,-0.401562,-1.452857,-0.34606,-0.434694,-0.156642,-0.208245,0.874676,-1.344506,-0.413787,-0.611051,-0.506649,0.438706,0.595925,-1.332894,-0.369008,-0.60829,0.5706,-0.561079,0.140338,-0.210264,-0.446297,1.721466,0.393348,-0.125559,normal
-0.738787,2.006915,0.033705,-0.783241,-0.686348,1.326149,-0.633292,-2.546025,1.527052,0.42079,0.001471,0.089547,0.441854,0.22265,-0.524432,0.208794,-1.636665,-0.814167,0.595925,-0.321916,1.282784,-0.857409,1.373954,1.307094,0.79768,-0.107779,-0.062849,1.619503,-0.40586,-0.655657,normal
-1.247295,1.110143,-0.753736,-0.151623,-1.339595,0.872123,-0.718895,0.346263,0.957001,-0.263781,-1.067809,0.512113,-0.35923,-0.562982,-0.81366,0.763317,1.790829,0.263411,0.595925,-1.409653,0.606643,-0.577299,0.57631,-0.875288,0.79768,0.148002,-0.921353,0.557201,-0.181101,0.262257,normal
