@relation 'prostate_cancer_preprocessed-weka.filters.supervised.instance.Resample-B0.0-S1-Z100.0-weka.filters.unsupervised.attribute.Remove-V-R1970,432,1181,1945,1226,1409,1292,1333,783,1282,1961,1642,1242,1749,409,1737,88,2035,1857,1362,939,133,2101,466,1804,331,497,292,152,1931,2136'

@attribute 41706_at numeric
@attribute 32598_at numeric
@attribute 37366_at numeric
@attribute 41468_at numeric
@attribute 37639_at numeric
@attribute 38634_at numeric
@attribute 38057_at numeric
@attribute 38291_at numeric
@attribute 35276_at numeric
@attribute 38028_at numeric
@attribute 41609_at numeric
@attribute 39756_g_at numeric
@attribute 37720_at numeric
@attribute 40415_at numeric
@attribute 32485_at numeric
@attribute 40282_s_at numeric
@attribute 1513_at numeric
@attribute 575_s_at numeric
@attribute 41013_at numeric
@attribute 38406_f_at numeric
@attribute 36174_at numeric
@attribute 1739_at numeric
@attribute 914_g_at numeric
@attribute 32806_at numeric
@attribute 40767_at numeric
@attribute 32052_at numeric
@attribute 33131_at numeric
@attribute 31791_at numeric
@attribute 1831_at numeric
@attribute 41338_at numeric
@attribute Class {normal,tumor}

@data
3.035745,3.787369,5.732444,5.846446,3.12942,6.027947,4.147698,8.782861,7.102632,4.335058,2.930947,8.13834,7.918976,3.238863,2.898378,8.160059,3.036584,6.109579,3.489048,9,6.342809,4.692332,3.257971,6.674646,3.592436,9,4.522196,5.385368,2.702448,8.229887,normal
3.096001,6.341793,6.262119,4.124513,2.307901,6.751553,3.642707,3.528752,4.543405,4.443962,3.225338,7.201666,7.341159,3.147638,3.326638,6.206838,4.225702,4.657773,4.931213,8.802657,4.855894,5.030223,3.292401,6.436202,4.566907,9,4.895334,5.141651,2.667556,9,normal
3.289255,4.525032,4.861468,3.576474,2.403827,3.989993,3.145809,3.999775,4.120626,3.749548,3.085989,5.345769,5.380538,3.276906,3.252413,2.383712,4.333988,4.675079,3.643305,6.477448,5.504783,5.267944,3.794206,5.248348,3.6716,5.597424,3.450443,4.751555,3.32011,7.417083,normal
3.166953,5.620626,5.228231,3.339723,2.327955,6.288278,4.139674,4.03388,4.181274,3.943433,3.190681,6.094417,6.311827,3.176267,3.523608,5.319305,3.947184,5.16691,5.03878,9,5.414328,5.077767,3.556493,5.853033,3.632063,4.605579,4.852626,5.196471,2.76263,8.994026,normal
3.158153,4.339527,4.357551,3.423326,2.944443,3.773529,3.082216,3.882518,4.107089,3.499069,3.036778,5.021613,5.132543,3.192212,3.402756,2.287533,4.044582,4.960637,3.828813,6.903162,5.150163,5.356727,3.648198,4.337326,3.614672,5.600315,4.702195,4.700717,2.868255,4.381934,normal
3.054166,3.23078,8.0496,7.759447,2.854732,4.507595,2.919552,4.758209,7.346886,3.315344,2.582965,8.467733,8.139097,4.339812,3.56295,2.336917,4.355726,5.371778,3.403101,8.333748,5.155802,7.784576,3.339521,7.815986,3.108034,4.548524,4.232173,4.577383,2.653044,9,normal
3.095477,6.76257,6.367989,4.343581,6.136508,6.92416,5.703249,5.714187,5.879417,3.413565,3.21897,8.283174,8.301295,3.233526,3.430473,6.723023,4.907831,5.997144,4.760964,9,6.088544,4.993034,3.356581,7.758972,4.319613,9,6.251293,5.158669,3.201236,8.976594,normal
3.158153,4.339527,4.357551,3.423326,2.944443,3.773529,3.082216,3.882518,4.107089,3.499069,3.036778,5.021613,5.132543,3.192212,3.402756,2.287533,4.044582,4.960637,3.828813,6.903162,5.150163,5.356727,3.648198,4.337326,3.614672,5.600315,4.702195,4.700717,2.868255,4.381934,normal
3.122557,6.753513,7.519179,7.235834,5.52019,5.858294,2.967124,5.141507,5.809843,3.7692,3.075006,9,8.323669,5.681149,3.23155,4.906669,6.390146,6.7729,4.284172,8.236933,6.928162,6.976226,3.986711,7.982371,3.637646,6.397529,6.102661,5.244176,3.080191,8.987188,normal
3.07521,7.367531,5.657353,3.258472,2.24129,7.774661,5.956914,4.906259,3.34783,5.461887,3.151539,6.089753,7.797989,3.05723,3.364529,7.152357,3.939004,4.099298,5.816016,9,5.314762,5.02092,3.568861,6.515642,4.886422,8.328542,5.588736,3.870078,3.520139,8.86857,normal
3.087916,7.840843,6.449711,5.055494,2.792491,7.035476,5.494127,6.089969,6.030445,4.065568,3.165735,8.610175,8.075675,3.047827,3.295371,7.336041,4.170905,5.938198,4.753025,9,5.843434,5.09713,3.322275,7.808405,5.21656,6.276562,4.326868,6.153106,3.524562,9,normal
2.983886,7.754229,7.640082,7.54712,2.22928,5.930421,4.84276,7.452941,5.369653,3.554079,3.12656,9,8.31728,4.987176,3.170992,7.422611,5.652805,6.779838,4.319626,9,7.229533,7.769535,3.153703,8.093869,3.712558,5.145638,5.006463,4.183192,3.486439,9,normal
3.135932,6.700687,5.937967,3.798734,3.001713,6.577162,4.043019,5.2657,3.977976,3.984006,3.23051,7.23771,7.606803,3.200856,3.436889,3.791814,3.821153,4.75576,4.641681,9,5.366779,5.374884,3.557194,6.452057,3.639749,6.282751,4.519748,5.206182,2.78917,9,normal
2.937403,5.876065,7.117494,7.46358,4.237162,7.008474,4.598067,3.464609,6.424611,4.935647,3.599493,8.522379,8.628956,4.747777,3.460827,6.835012,4.497924,5.858019,4.764042,7.385799,6.226789,5.4649,3.614508,7.279344,5.353374,9,6.51424,6.075354,2.758995,8.761504,normal
3.013922,5.68374,7.113946,5.764624,3.282357,6.815878,4.868263,4.184753,6.99558,4.705065,3.514295,8.723478,8.492257,3.120357,3.253788,5.153426,3.769872,5.793371,6.002524,9,5.283902,4.944794,3.750321,7.728041,5.428825,9,4.077763,5.486599,2.525994,9,normal
3.155082,4.221964,6.136336,5.831345,2.334745,6.464963,5.623157,3.584674,7.010526,4.290266,3.403469,8.090823,8.670719,3.055261,3.562973,5.686217,3.89629,5.555772,4.638104,9,5.652537,5.085334,4.08909,7.391097,4.419757,9,4.356775,5.140694,2.71601,9,normal
3.009747,7.983873,7.143717,6.121826,4.990952,8.376702,5.274649,6.93699,5.579007,5.393323,4.087985,8.236663,8.527453,4.640518,3.392615,7.863323,4.607847,6.231218,5.357355,9,6.526383,4.764592,3.22146,7.363512,5.913152,6.284388,6.604941,5.091404,4.519797,9,normal
3.205166,4.47966,5.11493,3.616831,2.346825,6.204143,3.424245,3.90706,4.196659,3.553957,3.237808,7.126582,6.562831,3.205901,3.567125,5.429074,4.339487,4.342074,4.217898,7.124259,6.104969,5.718945,3.689371,7.760601,3.543837,7.612246,4.059205,4.947967,2.962845,9,normal
3.286954,6.31786,6.554871,7.41247,2.291048,5.960724,3.174518,3.867215,5.440547,3.754332,3.157633,8.736081,8.367776,3.104502,3.096196,4.091086,4.229146,6.387752,3.585577,9,5.652374,5.194448,3.596554,6.866498,3.651717,4.76407,5.202554,6.066726,2.784316,8.905438,normal
3.193908,4.099793,5.449602,3.491652,2.32639,5.449944,3.389018,4.417659,4.096522,3.401635,2.982654,6.984234,6.804988,3.187109,3.556653,2.55325,4.334475,4.860327,3.344885,8.060883,4.846036,5.437703,3.531074,7.004986,3.629033,5.548557,4.237043,5.374373,2.78445,8.632321,normal
3.280624,4.75478,5.115305,3.782405,2.379227,4.501141,3.115111,3.97333,4.090182,3.520214,3.291793,7.129101,5.731127,3.239658,3.651609,2.373246,4.029485,4.625485,3.545594,6.771455,4.979249,5.461584,3.790896,4.628031,3.806837,9,4.083602,5.010435,3.032211,8.557012,normal
3.141028,6.042732,5.348016,3.514049,2.38278,5.84682,3.529896,5.19474,3.780509,3.516537,3.144953,5.383603,6.120425,3.233469,3.533598,5.139213,3.997597,4.591552,3.569033,7.016941,5.211544,5.519709,3.661596,6.316213,3.779047,8.57646,4.479997,4.038671,2.913829,8.801244,normal
3.088706,8.091154,6.599235,5.583084,6.486803,7.558193,6.195653,8.654489,5.180584,6.00155,4.533241,7.885629,8.340019,4.260194,3.40712,8.558483,4.738412,5.515289,6.101727,9,6.503481,4.94092,3.109455,8.135953,5.963614,4.666207,6.231197,5.604218,4.447084,9,normal
3.149766,4.70361,5.27048,4.823369,2.407516,5.814972,3.882403,3.777736,6.032646,3.504062,3.267143,7.420186,7.763004,3.168948,3.553077,5.835529,3.90981,5.726768,4.047974,8.903554,5.444219,5.260833,3.524981,7.38559,3.730577,6.352225,4.177468,5.029207,2.815643,9,normal
3.166953,5.620626,5.228231,3.339723,2.327955,6.288278,4.139674,4.03388,4.181274,3.943433,3.190681,6.094417,6.311827,3.176267,3.523608,5.319305,3.947184,5.16691,5.03878,9,5.414328,5.077767,3.556493,5.853033,3.632063,4.605579,4.852626,5.196471,2.76263,8.994026,normal
3.280624,4.75478,5.115305,3.782405,2.379227,4.501141,3.115111,3.97333,4.090182,3.520214,3.291793,7.129101,5.731127,3.239658,3.651609,2.373246,4.029485,4.625485,3.545594,6.771455,4.979249,5.461584,3.790896,4.628031,3.806837,9,4.083602,5.010435,3.032211,8.557012,normal
3.07521,7.367531,5.657353,3.258472,2.24129,7.774661,5.956914,4.906259,3.34783,5.461887,3.151539,6.089753,7.797989,3.05723,3.364529,7.152357,3.939004,4.099298,5.816016,9,5.314762,5.02092,3.568861,6.515642,4.886422,8.328542,5.588736,3.870078,3.520139,8.86857,normal
3.227102,4.365482,4.388967,3.716851,2.445874,3.883099,3.071203,3.929579,3.81131,3.496189,3.18574,4.826748,4.782104,3.208485,3.467647,2.343711,4.100088,4.883227,3.450904,6.430295,5.501177,5.53865,3.710037,1.877948,3.68926,3.926545,5.222317,4.701759,2.938755,4.447239,normal
3.108976,6.36754,7.045122,5.360347,2.467969,6.302049,3.359195,3.613294,5.745155,4.42625,3.876394,8.107845,7.892924,3.189904,3.438601,3.912204,4.246625,5.663244,4.993814,7.764774,6.323307,4.880028,3.309444,7.886753,3.974444,9,5.184304,5.666605,2.703037,9,normal
3.054166,3.23078,8.0496,7.759447,2.854732,4.507595,2.919552,4.758209,7.346886,3.315344,2.582965,8.467733,8.139097,4.339812,3.56295,2.336917,4.355726,5.371778,3.403101,8.333748,5.155802,7.784576,3.339521,7.815986,3.108034,4.548524,4.232173,4.577383,2.653044,9,normal
3.454436,4.253295,4.464467,3.564214,2.416347,3.931893,3.476651,4.000714,4.305209,3.631502,3.198645,5.170665,5.200104,3.261544,3.584301,2.343062,3.331508,4.5782,3.626404,6.443241,5.311509,5.232811,3.79272,3.444064,3.7467,5.184879,4.701729,4.787055,3.08419,4.342574,normal
3.135932,6.700687,5.937967,3.798734,3.001713,6.577162,4.043019,5.2657,3.977976,3.984006,3.23051,7.23771,7.606803,3.200856,3.436889,3.791814,3.821153,4.75576,4.641681,9,5.366779,5.374884,3.557194,6.452057,3.639749,6.282751,4.519748,5.206182,2.78917,9,normal
3.21774,5.616865,5.833745,4.029896,2.403579,6.015476,3.271777,5.614887,4.843458,3.43476,3.135211,7.39642,7.763105,3.134773,3.470244,6.319976,4.265406,5.56652,3.836628,8.689438,5.909917,5.109611,3.44293,7.735794,3.717446,9,5.058478,5.548672,2.832661,9,normal
3.286954,6.31786,6.554871,7.41247,2.291048,5.960724,3.174518,3.867215,5.440547,3.754332,3.157633,8.736081,8.367776,3.104502,3.096196,4.091086,4.229146,6.387752,3.585577,9,5.652374,5.194448,3.596554,6.866498,3.651717,4.76407,5.202554,6.066726,2.784316,8.905438,normal
3.21774,5.616865,5.833745,4.029896,2.403579,6.015476,3.271777,5.614887,4.843458,3.43476,3.135211,7.39642,7.763105,3.134773,3.470244,6.319976,4.265406,5.56652,3.836628,8.689438,5.909917,5.109611,3.44293,7.735794,3.717446,9,5.058478,5.548672,2.832661,9,normal
3.095477,6.76257,6.367989,4.343581,6.136508,6.92416,5.703249,5.714187,5.879417,3.413565,3.21897,8.283174,8.301295,3.233526,3.430473,6.723023,4.907831,5.997144,4.760964,9,6.088544,4.993034,3.356581,7.758972,4.319613,9,6.251293,5.158669,3.201236,8.976594,normal
3.227102,4.365482,4.388967,3.716851,2.445874,3.883099,3.071203,3.929579,3.81131,3.496189,3.18574,4.826748,4.782104,3.208485,3.467647,2.343711,4.100088,4.883227,3.450904,6.430295,5.501177,5.53865,3.710037,1.877948,3.68926,3.926545,5.222317,4.701759,2.938755,4.447239,normal
3.216485,4.448316,5.140731,3.45036,2.299971,6.852025,4.292753,3.849227,4.031374,3.604215,3.228163,4.522699,7.138259,3.20067,2.915566,8.735013,4.318813,4.33553,4.700589,9,4.509457,4.815048,3.587683,5.280796,3.759608,7.059381,5.302259,3.623834,2.896701,8.609205,normal
3.088706,8.091154,6.599235,5.583084,6.486803,7.558193,6.195653,8.654489,5.180584,6.00155,4.533241,7.885629,8.340019,4.260194,3.40712,8.558483,4.738412,5.515289,6.101727,9,6.503481,4.94092,3.109455,8.135953,5.963614,4.666207,6.231197,5.604218,4.447084,9,normal
3.359565,4.530712,5.005554,3.652125,2.375589,3.924018,3.015747,4.185137,2.555527,3.667212,3.248583,4.619482,4.76624,3.247025,3.808218,1.447884,3.865677,4.402609,3.617717,6.418231,5.251109,5.484702,3.73724,2.574961,3.748871,4.27047,3.966291,4.95436,3.011867,5.181948,normal
4.011155,4.320517,7.374765,5.296945,2.384437,4.000128,2.940582,3.778692,4.498491,3.475187,3.07075,7.227553,6.208807,3.258806,3.822581,2.366137,4.389737,5.477092,3.523319,6.591042,5.458991,5.324208,3.639607,6.071507,3.870703,6.497147,4.669075,4.060686,2.870208,7.345916,tumor
3.483745,3.999032,4.45247,3.620487,2.497738,3.937785,2.969399,4.030574,3.764881,3.564081,3.316403,7.293248,5.219099,3.321888,3.573795,1.74362,4.418491,4.675931,3.748676,5.073869,5.583539,5.064784,3.850692,5.444433,3.753301,5.769022,2.681043,4.273676,2.984255,6.164943,tumor
7.919694,3.810669,8.681669,9,7.354963,4.426502,2.822364,3.396512,8.543349,3.154888,3.826105,9,8.758613,3.968122,3.60715,2.238997,7.057167,6.682069,3.410615,7.474638,8.274059,6.62379,4.761126,8.255902,3.283643,6.968126,7.037327,3.583426,2.483882,8.408579,tumor
8.045565,3.846967,8.905915,9,7.78248,3.825409,3.07439,3.533432,6.665051,3.180891,5.502624,9,9,3.415576,3.637487,2.291403,5.74109,7.398577,3.170484,6.807772,8.165026,6.592486,5.856886,7.34981,3.273705,6.061155,5.633129,3.434654,2.549198,8.652015,tumor
6.459396,3.343053,6.965726,8.587796,7.407028,4.860603,3.230583,3.593403,7.762608,3.368193,3.286183,8.367306,8.413327,3.560913,3.51421,4.198411,6.47676,5.801517,4.597003,8.084247,6.753199,6.815442,4.150227,8.191164,3.502286,6.263708,6.820122,3.90052,2.635493,8.559294,tumor
5.117614,3.765789,7.033714,7.614743,5.78554,3.966693,2.751771,3.630795,7.500717,3.272817,3.09294,9,8.18461,3.259146,3.819975,2.413857,4.713836,6.297456,3.808878,7.293261,6.950346,7.660717,3.764421,7.021238,3.451516,5.684364,4.585127,4.769527,2.760551,8.999242,tumor
4.91992,4.407834,5.849666,4.251966,3.257647,3.998727,2.925669,3.86315,6.670559,3.539354,3.596128,7.858788,7.07831,3.214652,3.652079,2.3569,4.346343,5.311325,3.496349,6.202293,6.094696,5.427584,4.168526,7.279582,3.4853,7.337465,4.639361,3.692801,2.854831,8.643402,tumor
5.129801,4.1812,6.976041,8.715341,5.187998,3.620936,2.812914,3.727711,6.564899,3.494729,8.619395,8.276271,8.729614,3.231113,4.691508,2.349812,6.017651,7.592195,3.475374,5.481933,7.592236,7.219969,5.786172,8.239636,3.654898,7.167907,5.351623,4.054798,2.799596,8.69147,tumor
4.011155,4.320517,7.374765,5.296945,2.384437,4.000128,2.940582,3.778692,4.498491,3.475187,3.07075,7.227553,6.208807,3.258806,3.822581,2.366137,4.389737,5.477092,3.523319,6.591042,5.458991,5.324208,3.639607,6.071507,3.870703,6.497147,4.669075,4.060686,2.870208,7.345916,tumor
4.440275,3.87169,6.707161,9,5.865363,3.969192,2.74126,3.697419,7.12119,3.408424,5.621566,8.737123,9,3.200234,4.669031,2.883421,5.45581,8.091591,3.3439,6.467566,6.403909,6.275679,4.393018,7.528171,3.636516,8.272785,5.557057,4.437779,2.766752,8.748023,tumor
7.029306,3.641325,8.545459,9,8.234494,4.38573,2.999234,3.631881,7.441935,3.377753,4.319875,9,9,3.345988,5.370034,2.33326,6.108029,7.568739,3.132368,6.784372,7.849811,6.264591,6.155305,8.372875,3.578623,7.907654,6.381622,3.51396,2.709134,8.413326,tumor
8.812774,3.704335,9,9,7.934735,4.155895,2.369603,3.636647,6.893518,3.04143,6.2774,9,9,3.713657,4.85627,2.307147,6.560986,7.816668,3.319078,6.250017,7.959106,9,7.025556,7.524278,3.882583,8.578488,6.496991,3.441218,2.406435,8.177637,tumor
8.31622,3.683322,7.341876,9,7.980764,4.982742,3.865417,3.396268,7.121896,3.177077,3.920303,9,9,5.806899,6.351241,3.527333,7.945759,8.082128,3.24332,6.523767,8.5452,7.328796,7.313709,8.324425,3.218815,6.985749,6.7235,4.09774,2.627767,8.560179,tumor
4.753861,4.411409,7.591979,8.819819,7.069652,5.162386,2.852999,3.543029,7.936041,3.229588,4.603672,9,8.94023,3.331458,3.83094,4.48128,4.95135,7.065531,4.271408,8.229253,7.524475,4.919575,5.242738,7.907742,3.901227,8.043029,6.235092,4.270721,2.619689,8.748951,tumor
6.089779,3.984014,7.957223,9,5.503176,4.559248,2.886287,3.759735,5.552873,3.478455,3.273932,8.313509,8.616162,3.281751,3.602836,2.374921,4.36736,6.851453,3.471956,7.03256,6.081129,5.108357,4.309974,7.45255,3.612272,5.201257,4.90668,4.792312,2.961171,7.588791,tumor
3.397389,3.960519,4.055659,3.67496,2.53522,4.075525,3.027609,4.00007,5.709872,3.525667,3.285147,6.773953,6.367476,3.234361,3.725925,2.186572,4.122653,4.358025,3.768687,5.20118,5.397895,4.968958,3.755592,6.087859,3.828044,5.102285,5.196271,4.338152,3.039619,9,tumor
8.084409,3.640641,9,9,7.621816,3.897545,2.579401,3.318717,7.183815,3.086293,6.775161,9,9,3.808487,4.338552,2.852136,5.741082,8.404046,4.376772,5.818866,8.908585,7.882361,7.306048,7.208596,3.769353,5.97133,6.791937,4.078774,2.558074,8.585537,tumor
4.767829,3.867513,8.490241,9,8.253382,4.776657,3.490141,3.391256,7.655765,3.185098,7.843066,9,9,3.933032,4.390734,4.681543,6.411733,7.333493,4.917793,8.571316,7.884277,7.318119,6.641248,8.276956,3.118406,8.632446,7.915666,5.011123,2.451361,9,tumor
3.169782,6.960673,5.663137,3.557202,2.762064,7.293934,5.991533,6.146546,3.16039,4.077118,3.093208,6.509098,8.185024,3.121343,3.551036,5.101684,4.24486,4.292054,4.305647,7.98494,5.084996,4.68302,3.51244,6.25199,3.680502,6.510032,5.038361,3.757669,2.905938,9,tumor
4.134773,3.846581,7.830783,8.598212,6.146635,4.425509,3.523109,4.280595,7.942533,3.211657,4.01131,9,8.464541,3.824927,4.046278,2.285109,5.792452,6.116218,3.805998,7.885778,7.032687,5.987184,4.070221,7.635443,3.308149,7.914153,5.546768,4.980709,2.575388,8.684276,tumor
3.1888,3.793998,8.33201,9,4.793648,3.665995,2.648362,3.655631,6.956997,3.441153,3.439529,8.206697,8.834342,3.259414,3.627303,2.031801,4.605167,7.532068,3.039357,6.36858,7.232987,6.203098,5.893479,7.376397,3.463723,6.07022,6.756947,3.722715,2.758807,8.15402,tumor
7.029306,3.641325,8.545459,9,8.234494,4.38573,2.999234,3.631881,7.441935,3.377753,4.319875,9,9,3.345988,5.370034,2.33326,6.108029,7.568739,3.132368,6.784372,7.849811,6.264591,6.155305,8.372875,3.578623,7.907654,6.381622,3.51396,2.709134,8.413326,tumor
8.858599,3.336975,8.75988,7.95407,7.484177,4.191945,2.510282,3.500086,6.636365,3.337049,3.846966,8.847591,8.860657,3.620183,4.03487,2.34739,5.538848,6.664587,3.275695,7.846515,7.404478,8.014066,5.357417,7.609471,3.395784,6.560245,6.630375,3.432142,2.642427,8.482701,tumor
3.465348,4.240012,6.967309,6.907571,6.244101,4.219059,2.841298,3.989125,6.556651,3.474518,3.031154,9,8.870239,3.201973,3.398899,2.386826,4.354406,6.711653,3.496026,7.144466,6.202384,4.853164,3.372761,6.843971,3.633999,6.659418,4.899509,4.350507,2.742246,9,tumor
3.037169,4.038297,5.586662,8.600074,7.33473,5.550532,2.783431,3.565927,7.152823,3.393151,3.120318,7.693281,9,3.549294,4.712706,3.114241,3.994485,6.427144,4.418656,6.780936,6.561179,6.606613,4.589204,7.222348,3.74854,7.06167,6.518447,4.155938,2.64251,8.634798,tumor
6.490291,3.775206,8.805302,9,8.960123,4.762783,3.148834,3.341171,7.475031,2.996916,3.875011,9,8.925129,4.313294,3.391584,4.598959,7.526371,7.801774,4.380605,8.534156,8.49903,7.904958,6.847805,7.948454,3.168361,6.035509,6.942426,4.619635,2.577652,8.563551,tumor
9,3.889907,9,9,7.399533,3.497752,2.546027,3.53485,7.843163,3.173655,2.999746,9,9,3.670933,3.349018,1.894846,6.368048,6.776725,3.313011,6.397009,7.095565,9,3.29291,7.594892,3.377972,4.011296,7.770931,4.024218,2.623536,8.380433,tumor
4.413378,3.858533,5.711118,4.225383,8.046657,5.216871,3.054995,3.893634,5.591833,3.497142,3.285966,7.822351,7.089572,3.228536,3.721414,2.386939,4.978382,4.448043,3.415843,8.009909,5.257351,4.873138,5.06473,9,3.63898,9,4.869631,4.272378,2.855071,9,tumor
3.483745,3.999032,4.45247,3.620487,2.497738,3.937785,2.969399,4.030574,3.764881,3.564081,3.316403,7.293248,5.219099,3.321888,3.573795,1.74362,4.418491,4.675931,3.748676,5.073869,5.583539,5.064784,3.850692,5.444433,3.753301,5.769022,2.681043,4.273676,2.984255,6.164943,tumor
6.783322,3.695723,8.983366,8.992764,6.718912,4.562831,2.861035,3.483578,8.487223,3.169369,3.921245,9,9,5.295308,3.502196,3.669976,4.685931,6.802966,3.004094,7.958695,7.019848,6.515485,4.208454,7.36452,3.334409,6.548811,6.897087,4.8851,2.532732,8.518752,tumor
4.440275,3.87169,6.707161,9,5.865363,3.969192,2.74126,3.697419,7.12119,3.408424,5.621566,8.737123,9,3.200234,4.669031,2.883421,5.45581,8.091591,3.3439,6.467566,6.403909,6.275679,4.393018,7.528171,3.636516,8.272785,5.557057,4.437779,2.766752,8.748023,tumor
5.120468,3.791026,8.187382,8.988126,7.42552,5.066446,3.263088,3.650575,6.882974,3.444703,5.094688,9,8.71692,4.164065,3.618228,4.398868,6.144633,6.938932,2.956429,7.714441,7.583412,6.581301,3.555472,8.353289,3.39902,7.594206,5.203569,3.571011,2.650352,8.926358,tumor
5.117614,3.765789,7.033714,7.614743,5.78554,3.966693,2.751771,3.630795,7.500717,3.272817,3.09294,9,8.18461,3.259146,3.819975,2.413857,4.713836,6.297456,3.808878,7.293261,6.950346,7.660717,3.764421,7.021238,3.451516,5.684364,4.585127,4.769527,2.760551,8.999242,tumor
9,3.889907,9,9,7.399533,3.497752,2.546027,3.53485,7.843163,3.173655,2.999746,9,9,3.670933,3.349018,1.894846,6.368048,6.776725,3.313011,6.397009,7.095565,9,3.29291,7.594892,3.377972,4.011296,7.770931,4.024218,2.623536,8.380433,tumor
4.644353,3.863893,8.503689,9,5.12129,3.856519,2.852179,3.619778,5.74466,3.314484,3.208532,9,8.544384,3.223829,3.817568,2.327973,4.561479,6.567491,3.360387,7.229197,6.536996,7.850153,3.408148,7.188837,3.360435,6.344449,4.88256,4.338901,2.737217,8.635614,tumor
5.539994,3.895528,8.462685,8.763477,7.135352,3.720501,2.828633,3.659555,7.06795,3.399995,3.224149,8.562913,9,3.206556,3.796016,1.871838,4.377962,6.329444,3.15745,6.553875,6.373144,8.291903,3.424885,7.229835,3.401976,5.67607,5.135047,4.187233,2.755066,8.599834,tumor
