@relation 'DT_Prostate Cancer_RAW_1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N7-F1-weka.filters.unsupervised.attribute.Remove-V-R1970,1226,1945,939,1333,1282,630,432,134,88,1409,1292,1460,2035,1642,987,409,108,1343,1362,1242,292,133,1181,1469,1737,598,2089,1542,1303,39,783,243,1969,728,711,2031,2101,1519,568,1569,1244,161,1374,2088,2083,152,334,988,1051,1731,217,1857,1741,1511,1105,118,616,181,1553,545,6,1688,1656,1293,1218,740,1792,1102,1738,831,1084,1003,1978,1943,206,951,929,1141,1454,1412,1382,1079,1270,1641,1950,541,1754,1385,337,216,1050,1617,490,342,1834,1482,976,105,717,2136-weka.filters.unsupervised.attribute.Remove-V-R1-2,6,17,19-20,22,29,35-36,38,41,45,56,62,64-66,68,70,78,87,97,101'

@attribute 41706_at numeric
@attribute 37639_at numeric
@attribute 38028_at numeric
@attribute 32485_at numeric
@attribute 38326_at numeric
@attribute 38406_f_at numeric
@attribute 31791_at numeric
@attribute 39154_at numeric
@attribute 34840_at numeric
@attribute 34775_at numeric
@attribute 914_g_at numeric
@attribute 39331_at numeric
@attribute 862_at numeric
@attribute 37000_at numeric
@attribute 103_at numeric
@attribute 39817_s_at numeric
@attribute 38059_g_at numeric
@attribute 37599_at numeric
@attribute 40637_at numeric
@attribute 40297_at numeric
@attribute 36147_at numeric
@attribute 33415_at numeric
@attribute 38969_at numeric
@attribute Class {normal,tumor}

@data
-1.069355,0.38898,2.001072,-0.538663,1.703409,1.287815,0.813827,0.408226,0.206259,0.207996,-1.498968,0.313681,1.321266,0.504282,-2.758169,0.943255,2.177108,1.732962,0.806165,0.205434,0.755986,0.307954,0.329095,normal
-0.908378,0.789664,-0.272123,-0.415446,0.538634,1.287815,0.897683,0.204682,0.479757,0.488419,-1.02915,-0.231842,-0.732881,0.216248,-0.643948,0.02668,1.302706,-0.537627,0.24615,0.246114,0.790512,0.010345,0.622463,normal
-1.215279,0.066068,1.857919,-0.320986,1.092847,-0.211369,1.940859,1.41542,0.167526,0.311639,-0.327831,0.694655,0.218953,0.024029,-1.821729,0.532413,1.49029,1.649373,0.70335,-0.041274,0.896804,0.330728,1.002156,normal
-0.599599,-1.08358,0.082234,0.195109,0.032593,-0.72968,0.711391,-1.013166,-1.155586,-1.303768,0.039727,-1.168832,0.694868,-0.701201,-0.025959,-1.278112,0.43428,0.53218,-1.739693,-1.197799,-1.543995,-1.21354,-0.852314,normal
-0.68383,-1.028969,0.007752,-0.300272,-0.306242,-1.00474,0.305012,-1.048207,-1.564479,-1.598689,-0.119279,-1.974503,1.244323,-1.585756,0.362914,-0.770482,0.277831,0.474734,-1.672997,-1.359996,-1.483002,-1.886884,-1.859821,normal
-0.698965,-1.063464,-0.196633,-0.292433,0.524385,0.984208,1.363016,-1.276133,0.029627,0.115157,-0.768875,-0.366134,-0.17679,0.446481,-0.36461,-0.148113,-0.255179,-0.817674,0.10376,0.106942,0.193317,-0.141145,0.290863,normal
-0.312307,-0.987418,0.210933,-0.000355,-0.130525,-2.005713,-0.304804,-1.024475,-0.923252,-1.566735,0.148054,-1.199718,0.800928,-1.129777,0.879928,-0.325414,0.721531,0.489489,-1.077601,-1.67207,-1.439825,-1.901661,-1.531609,tumor
0.249121,-1.07926,-0.059807,0.563607,-0.364056,-0.876284,-0.630934,-0.97287,-1.079237,-0.596821,-0.270708,-0.96644,0.412784,-0.477399,0.852404,-0.67999,0.20918,-0.181511,-1.196199,0.006129,-0.480846,-0.787709,-1.033582,tumor
-0.428559,-0.957887,0.098737,0.364834,-0.263582,-1.918183,-0.209204,0.090293,-1.422965,-1.381799,-0.027848,-1.397372,0.999343,-1.526874,0.688554,-0.296626,0.466693,-0.049388,-1.378291,-1.593863,-1.368863,-1.679536,-1.018761,tumor
1.618947,1.165162,-0.568127,0.927223,-0.592472,0.196447,-1.699229,1.57078,1.274983,0.98296,1.466302,0.209913,-0.861934,0.264748,2.357512,0.057953,-1.005394,-0.928148,1.047307,0.61191,0.34168,0.466343,0.339311,tumor
1.380032,0.962436,-1.369951,-0.198118,-1.044339,0.298198,0.549494,1.692714,1.124618,1.300257,0.663758,1.433774,0.133528,0.576293,0.994988,0.574874,-1.253725,0.717458,1.498707,0.835347,1.204696,-0.007344,1.296789,tumor
1.615534,1.273662,-2.1629,1.742556,-2.906612,-1.14636,-1.682525,1.699151,1.289973,1.327086,1.820204,0.548953,-2.071788,0.742268,1.599193,0.863701,-2.616278,-2.342269,1.533895,0.193664,1.901563,0.810395,1.406277,tumor
1.318911,1.145828,-0.443019,-0.163651,-0.849672,0.413208,-0.887301,0.657099,0.408234,0.554487,0.593009,0.353731,-0.695548,0.371424,-0.581747,1.23086,-0.623634,-0.295683,0.090594,0.212771,0.639533,0.500909,0.925818,tumor
-0.336389,0.822942,-0.061998,-0.517781,-0.304663,-0.418477,-0.191045,0.024857,0.512081,0.272414,-0.978186,1.262144,-0.58291,0.401809,-0.476215,-1.100752,-0.316445,-0.874537,0.10104,0.539409,-0.238705,-0.122346,0.306516,tumor
-0.783242,-1.126559,1.019347,-0.13706,0.29449,1.287815,0.944325,-1.371961,-1.686148,-1.181269,-0.466695,-1.601048,0.012718,-1.576614,-0.207976,-1.103789,-0.118008,-0.765473,-1.683224,-1.200078,-1.101985,-1.059343,-0.937292,normal
-1.01922,-0.538263,1.488252,-2.903233,1.915528,1.287815,1.172353,-0.298626,-0.406584,-0.688512,-1.363768,-0.574682,1.343513,-1.229532,-0.615466,-0.65143,-0.363386,1.97765,0.062207,-0.912555,0.163698,0.076322,0.712767,normal
-0.798227,-0.659969,0.016836,-0.505051,-0.497241,-0.621038,0.303596,-1.086803,-1.30919,-0.921334,-0.251548,-1.15181,0.295291,-1.859344,0.182603,-1.100007,0.227342,-0.254795,-1.162058,-0.967125,-1.59017,-2.010311,-1.247489,normal
-1.061224,-0.442898,1.74886,-1.047735,1.374943,1.287815,1.291227,0.488607,0.345966,-0.204013,-0.038179,0.634397,1.347608,0.478713,-1.982491,0.142583,-0.314737,1.963407,0.039367,0.342523,-0.122466,0.55639,-0.129952,normal
-0.827723,-1.080633,0.071024,-0.109143,0.804977,-0.526093,-0.665587,-1.205607,-1.307502,-1.168007,-0.222058,-1.468484,0.419472,-1.066451,0.01242,-0.275383,1.422815,-0.119792,-0.498894,-0.723123,-1.378847,-0.454061,-1.486523,normal
-0.884136,-1.011168,1.564982,-0.389783,0.724214,0.122908,1.49717,-1.048147,0.737339,0.137922,-1.183789,0.108979,-1.291571,0.440908,-0.433038,-0.247662,-1.163152,-0.996107,-0.226529,0.553204,0.12058,0.167553,0.30037,normal
-0.908378,0.789664,-0.272123,-0.415446,0.538634,1.287815,0.897683,0.204682,0.479757,0.488419,-1.02915,-0.231842,-0.732881,0.216248,-0.643948,0.02668,1.302706,-0.537627,0.24615,0.246114,0.790512,0.010345,0.622463,normal
1.535549,1.132648,-1.450862,0.085786,-0.991558,-0.133996,-1.42607,1.622866,0.837778,1.327086,1.159394,0.945712,-1.904578,0.881392,1.366214,1.762677,-1.730809,-1.280953,0.451308,0.784298,1.229435,0.601202,1.580168,tumor
0.569967,0.70281,-0.29084,1.613551,-0.512258,-0.975138,-0.064196,-0.590593,-0.493521,1.006122,0.861204,0.716291,-0.097986,1.723128,-0.274784,0.682886,-0.138151,-0.527495,1.604605,1.603751,0.329327,1.67519,0.439985,tumor
1.552487,1.199092,-1.863842,1.314805,0.220479,-1.474482,-0.602599,1.088782,1.995721,1.327086,1.847272,1.416506,-2.304149,1.32107,0.463024,1.37033,-2.10062,-2.020024,1.360834,1.603751,1.500523,1.138621,1.041493,tumor
-0.336389,0.822942,-0.061998,-0.517781,-0.304663,-0.418477,-0.191045,0.024857,0.512081,0.272414,-0.978186,1.262144,-0.58291,0.401809,-0.476215,-1.100752,-0.316445,-0.874537,0.10104,0.539409,-0.238705,-0.122346,0.306516,tumor
0.569967,0.70281,-0.29084,1.613551,-0.512258,-0.975138,-0.064196,-0.590593,-0.493521,1.006122,0.861204,0.716291,-0.097986,1.723128,-0.274784,0.682886,-0.138151,-0.527495,1.604605,1.603751,0.329327,1.67519,0.439985,tumor
1.405306,1.11682,-0.421198,2.066398,-1.101001,-1.135021,-1.73193,0.84831,0.948867,1.327086,-1.531586,0.666695,-1.840267,1.88105,2.374124,0.887477,-2.425923,-1.026443,0.47562,0.569959,1.410404,0.725803,1.120834,tumor
1.498085,1.347009,-0.637183,-0.673744,-0.816184,-2.033491,-1.820327,0.860334,1.158429,0.072386,-0.712104,0.921838,-0.68481,0.511449,-0.271152,1.8643,-0.519521,-0.883601,0.237019,1.410116,0.816923,0.793765,1.455691,tumor
1.318911,1.145828,-0.443019,-0.163651,-0.849672,0.413208,-0.887301,0.657099,0.408234,0.554487,0.593009,0.353731,-0.695548,0.371424,-0.581747,1.23086,-0.623634,-0.295683,0.090594,0.212771,0.639533,0.500909,0.925818,tumor
-0.827723,-1.080633,0.071024,-0.109143,0.804977,-0.526093,-0.665587,-1.205607,-1.307502,-1.168007,-0.222058,-1.468484,0.419472,-1.066451,0.01242,-0.275383,1.422815,-0.119792,-0.498894,-0.723123,-1.378847,-0.454061,-1.486523,normal
-0.907431,-1.143606,1.578809,-0.768767,0.446853,1.094065,0.876572,-0.140049,-1.258566,-0.841043,-1.242053,-0.223893,1.010601,-0.661635,-0.803348,-1.095828,-0.365125,1.002001,-0.154061,-1.112104,-0.53439,-0.403303,-1.026055,normal
-0.860038,0.585524,0.706253,-1.138556,0.744301,0.554677,1.002697,0.933758,0.586691,1.064993,0.368579,0.639502,-1.205141,1.091716,-1.401789,0.749919,1.435042,-0.758726,0.983104,0.78741,1.312189,-0.257934,1.281955,normal
-0.803484,-1.120818,1.44688,-0.029096,1.490358,1.287815,0.875383,-0.167525,-0.225437,-0.406904,0.51377,0.890418,1.641877,0.328949,-0.665602,-1.567816,-0.329939,1.189765,-0.753268,0.135841,-0.419714,0.815696,-0.27752,normal
-0.920647,0.89569,2.105006,-0.490725,1.99476,1.287815,1.426562,0.011445,0.645624,0.468174,-1.957049,0.516809,0.433333,0.548997,-2.242477,0.122052,1.860577,1.760013,0.10202,0.50499,0.813991,0.126241,0.862114,normal
-0.984402,-0.721715,-0.659317,-0.029158,-0.871976,0.645288,0.133688,0.262018,0.41669,0.371551,-1.084039,-0.223502,2.15067,0.595427,-0.691924,-1.655035,-0.226619,2.061467,0.353063,0.549844,-0.218705,-0.364145,0.2584,normal
-0.68383,-1.028969,0.007752,-0.300272,-0.306242,-1.00474,0.305012,-1.048207,-1.564479,-1.598689,-0.119279,-1.974503,1.244323,-1.585756,0.362914,-0.770482,0.277831,0.474734,-1.672997,-1.359996,-1.483002,-1.886884,-1.859821,normal
1.548593,1.237813,-1.307037,0.161043,-0.824033,-0.699859,-1.694602,0.074976,1.255334,1.012696,1.624115,1.466548,-1.21327,0.591218,1.579078,1.088767,-1.856172,-0.891451,0.625764,0.687737,0.720795,1.248192,0.503068,tumor
1.420618,1.341962,-0.405919,1.996133,-0.272617,-0.719085,-1.550124,1.056517,1.470252,0.274019,1.691743,-0.596262,-0.226097,0.936778,2.335148,1.951537,-0.325044,-0.672514,1.119089,0.841604,1.162887,1.969068,1.012452,tumor
0.75942,1.346168,-1.284383,1.369237,-0.043728,0.870609,0.712268,1.780611,1.169433,1.327086,1.773375,2.30726,-2.222128,0.92945,-0.483275,1.675272,-0.952594,-0.124443,0.126234,1.20707,1.170678,1.045878,1.576715,tumor
-1.016508,1.127497,-0.347404,1.645865,-0.985909,-0.721905,-0.483074,0.560395,1.873973,0.736348,1.03367,-0.123,-0.715061,-0.398459,0.544718,-0.052065,-0.639361,-1.155646,0.586429,-0.752513,0.465674,0.835499,0.239168,tumor
0.924029,1.150483,-0.162126,0.113601,0.609231,0.077879,-1.448074,0.906786,0.473405,1.327086,-0.469228,0.65448,-0.486126,0.952467,1.636417,1.493739,-0.344443,0.858273,0.870029,1.108911,1.107509,1.299808,0.926369,tumor
1.618947,1.165162,-0.568127,0.927223,-0.592472,0.196447,-1.699229,1.57078,1.274983,0.98296,1.466302,0.209913,-0.861934,0.264748,2.357512,0.057953,-1.005394,-0.928148,1.047307,0.61191,0.34168,0.466343,0.339311,tumor
-0.778449,-0.787501,1.209899,-0.061262,0.352764,0.32214,-1.124643,-0.593253,-1.304844,-1.560077,-0.578908,0.212245,-0.188772,-0.968758,-0.360411,-0.966805,2.108193,1.365976,0.109899,-1.492442,-0.506044,-0.685862,-1.115624,tumor
-0.827723,-1.080633,0.071024,-0.109143,0.804977,-0.526093,-0.665587,-1.205607,-1.307502,-1.168007,-0.222058,-1.468484,0.419472,-1.066451,0.01242,-0.275383,1.422815,-0.119792,-0.498894,-0.723123,-1.378847,-0.454061,-1.486523,normal
-0.586373,-1.06326,0.66541,-1.05327,-0.204339,-0.967271,0.372344,-1.246671,-1.11117,-1.565689,0.045922,-1.122203,0.652425,-1.486308,0.466341,0.078491,0.378807,0.210246,-1.49117,-1.319987,-1.732592,-1.951016,-1.520909,normal
-0.945325,-1.201213,2.016611,-0.634147,1.735493,1.287815,-0.937173,0.125665,-1.1334,-1.693032,-0.436264,0.120689,-0.698811,-0.834463,-0.355266,-0.156385,1.192478,1.312841,0.05858,-1.759925,-0.608071,-0.130409,-1.119369,normal
-1.069355,0.38898,2.001072,-0.538663,1.703409,1.287815,0.813827,0.408226,0.206259,0.207996,-1.498968,0.313681,1.321266,0.504282,-2.758169,0.943255,2.177108,1.732962,0.806165,0.205434,0.755986,0.307954,0.329095,normal
-0.812617,-1.060229,0.032483,-0.055728,0.221831,1.192765,0.735288,-1.167003,-0.960578,-0.308045,-0.546343,-0.755223,0.966093,-0.310748,-0.051439,-1.928187,0.047588,-0.11543,-0.32139,-0.442771,-0.471594,0.116508,-0.941257,normal
-0.350845,-1.052992,0.391803,0.027171,-0.22146,-0.99447,0.419916,-1.051972,-1.424883,-1.569577,0.043144,-1.639605,0.719448,-1.746691,0.608838,-0.686134,0.426472,0.60285,-0.924221,-1.533774,-2.446926,-1.930401,-0.981789,normal
-0.701003,-1.150384,0.320947,-2.789845,1.497054,1.287815,-1.354948,-1.290843,-1.06097,-1.553638,-0.390825,-0.729965,0.485599,-1.555508,-0.126794,-1.02413,0.132296,0.155604,-1.556555,-1.60925,-1.411282,-1.089127,-1.933089,normal
1.318911,1.145828,-0.443019,-0.163651,-0.849672,0.413208,-0.887301,0.657099,0.408234,0.554487,0.593009,0.353731,-0.695548,0.371424,-0.581747,1.23086,-0.623634,-0.295683,0.090594,0.212771,0.639533,0.500909,0.925818,tumor
1.615534,1.273662,-2.1629,1.742556,-2.906612,-1.14636,-1.682525,1.699151,1.289973,1.327086,1.820204,0.548953,-2.071788,0.742268,1.599193,0.863701,-2.616278,-2.342269,1.533895,0.193664,1.901563,0.810395,1.406277,tumor
-0.778449,-0.787501,1.209899,-0.061262,0.352764,0.32214,-1.124643,-0.593253,-1.304844,-1.560077,-0.578908,0.212245,-0.188772,-0.968758,-0.360411,-0.966805,2.108193,1.365976,0.109899,-1.492442,-0.506044,-0.685862,-1.115624,tumor
1.32516,1.495936,-2.484847,-0.542105,-1.016715,0.835086,0.192402,1.788622,1.067441,1.327086,1.800126,0.778571,-1.803437,0.977552,-1.189351,1.853825,-0.92316,-0.092836,0.534958,1.42283,1.228396,0.832507,1.421758,tumor
0.922833,0.676383,-0.848117,0.558548,-0.962175,-0.291316,0.396472,1.209813,1.511297,0.971688,-0.010687,0.526057,-0.491636,0.154371,-0.183406,0.078346,-0.097534,-0.382007,0.377918,0.664531,0.013859,-0.104602,-0.14477,tumor
-0.574622,0.843696,-0.14493,0.036794,-0.490595,-0.644366,0.600237,0.66797,0.357767,0.343737,-0.680701,0.212908,0.094946,0.031211,-0.103725,-0.268464,-0.042116,-0.13698,0.243416,1.603751,-0.336771,-0.258604,-0.501946,tumor
1.380032,0.962436,-1.369951,-0.198118,-1.044339,0.298198,0.549494,1.692714,1.124618,1.300257,0.663758,1.433774,0.133528,0.576293,0.994988,0.574874,-1.253725,0.717458,1.498707,0.835347,1.204696,-0.007344,1.296789,tumor
-0.984402,-0.721715,-0.659317,-0.029158,-0.871976,0.645288,0.133688,0.262018,0.41669,0.371551,-1.084039,-0.223502,2.15067,0.595427,-0.691924,-1.655035,-0.226619,2.061467,0.353063,0.549844,-0.218705,-0.364145,0.2584,normal
-0.783242,-1.126559,1.019347,-0.13706,0.29449,1.287815,0.944325,-1.371961,-1.686148,-1.181269,-0.466695,-1.601048,0.012718,-1.576614,-0.207976,-1.103789,-0.118008,-0.765473,-1.683224,-1.200078,-1.101985,-1.059343,-0.937292,normal
-0.922084,-0.765669,1.19487,-0.885133,1.076943,1.287815,2.021754,0.091806,0.19086,0.040445,-1.140762,-1.046846,0.829936,0.179974,-0.875056,-0.13143,0.359953,1.117757,-0.486705,-0.026335,0.043582,0.431509,-0.125604,normal
-0.719486,-1.110641,0.182039,-0.018022,0.734717,-0.435613,0.631215,-1.247962,-0.978672,-1.064716,-0.162404,-1.493508,0.486013,-0.585499,0.121325,0.028995,0.148265,-0.055781,-1.521779,-0.638687,-0.983612,-0.380314,-1.042649,normal
-0.783242,-1.126559,1.019347,-0.13706,0.29449,1.287815,0.944325,-1.371961,-1.686148,-1.181269,-0.466695,-1.601048,0.012718,-1.576614,-0.207976,-1.103789,-0.118008,-0.765473,-1.683224,-1.200078,-1.101985,-1.059343,-0.937292,normal
-0.836586,-0.621504,1.081199,-0.395166,-0.236664,1.287815,0.956251,-1.336153,-0.474105,-0.619557,-0.464958,0.043593,-0.078132,-0.993018,-0.150275,-1.067715,0.091696,-0.11102,-1.1041,-0.286069,-0.847409,-0.382207,-0.696805,normal
-0.920647,0.89569,2.105006,-0.490725,1.99476,1.287815,1.426562,0.011445,0.645624,0.468174,-1.957049,0.516809,0.433333,0.548997,-2.242477,0.122052,1.860577,1.760013,0.10202,0.50499,0.813991,0.126241,0.862114,normal
0.922833,0.676383,-0.848117,0.558548,-0.962175,-0.291316,0.396472,1.209813,1.511297,0.971688,-0.010687,0.526057,-0.491636,0.154371,-0.183406,0.078346,-0.097534,-0.382007,0.377918,0.664531,0.013859,-0.104602,-0.14477,tumor
1.574512,1.284343,-1.327721,2.249225,1.08379,-0.930294,-0.573019,0.391714,0.931803,1.327086,1.847942,1.495112,-1.039528,1.565429,0.224025,2.018703,-0.361835,-1.611373,1.790222,1.603751,2.038625,1.969068,1.778941,tumor
0.351641,0.792824,-1.14517,0.944319,0.034539,0.231951,0.673365,1.545789,0.419133,1.327086,0.488228,0.981603,-1.282922,0.423217,-1.134065,1.456918,-0.608582,-0.258621,0.101824,0.647258,0.340991,0.072645,0.963007,tumor
1.629124,1.143937,-1.346398,-0.688431,-0.887668,-1.031083,-0.688436,1.690211,0.892372,1.327086,-1.240295,1.85253,-0.639524,1.922743,0.767042,-0.076052,-0.805351,-1.125005,1.899775,1.601437,0.795294,0.346501,0.75035,tumor
1.629124,1.143937,-1.346398,-0.688431,-0.887668,-1.031083,-0.688436,1.690211,0.892372,1.327086,-1.240295,1.85253,-0.639524,1.922743,0.767042,-0.076052,-0.805351,-1.125005,1.899775,1.601437,0.795294,0.346501,0.75035,tumor
0.752333,1.049936,-0.891068,0.191438,-0.146154,0.545792,1.85692,0.987799,0.99936,0.78787,1.487428,0.394632,1.74268,0.434296,1.901104,0.393104,-1.355498,0.515497,0.215002,0.393091,0.632126,0.852658,0.33715,tumor
1.079871,1.075851,-0.321878,0.511284,-1.335262,-0.906167,-0.435213,0.411038,0.710624,0.116747,-0.820946,0.907411,-0.238788,0.830133,-0.185821,0.015443,-0.225077,-0.793182,-0.159461,0.558975,0.136593,0.669657,0.829698,tumor
