@relation 'DT_Prostate Cancer_RAW_1-weka.filters.supervised.instance.StratifiedRemoveFolds-S0-V-N7-F2-weka.filters.unsupervised.attribute.Remove-V-R2,6,8,15,18-19,24-25,27,30,34-36,39-40,43-44,48,50,57,62,65-66,71,73,80-83,87,93,95,97,99,101-102,104,109,112,116-117,121,123,128-132,134-135,137-139,142-144,146,151-152,158,161,163,165-166,168,170,173,175-176,179,182,186-189,191-192,196-198,200,206-207,214,220,224,230-231,235,240-241,243-244,248,250,257,262-263,265-266,268,270,277,279,289,292,294,300,302,308,310,312-313,317,320-322,327,330,332,334-335,339-340,344,346-347,351,356,358-360,371,374,379-380,385,388-389,391,393-395,401,407-408,410,412,414-416,418,429-433,435,437,442,447,450,454,456-457,460,464,467-468,471,479,486,488,491-492,494,496,498,500,502,508,510-511,516,521-524,527,529-530,532-535,537-538,542,548,552,554,556,562-564,567,573,575,582,586,593,597-598,600,603-604,606,608,610,612-614,618-619,621,625,632,644,653,656,658-659,661-663,668-669,671-673,675,677-678,681-682,685-686,689-692,695,699-701,713-714,717-722,728,731,733,736-737,747,750-752,754,758-759,764,770,780,784,786,789,791-793,795,797,801-803,805-807,810,815-816,820-821,826-827,829,831-832,835,838-839,841-844,846,848,859,861,863-864,868-870,873,876,878-879,885,887-889,894,899,901,903,905-906,909-910,912,914-915,921,926-927,929,932,934-936,940,944,953,956,958,962-963,968-969,972-973,975,981,987-988,993,995,997,999,1003,1007,1009-1010,1012,1015,1017-1019,1022,1025-1026,1028,1031,1036-1037,1051-1052,1056-1057,1061,1063,1068,1072,1075,1082-1086,1088-1089,1091,1093,1095-1096,1103,1107,1109,1111,1113,1115-1117,1120,1123,1125-1126,1128,1130,1138-1139,1141,1146,1149-1150,1160,1164,1167-1168,1170,1176-1178,1181,1184,1186-1187,1191-1192,1194,1196-1199,1202,1223,1227,1230,1233,1236,1238-1239,1242,1245-1246,1248,1253,1256,1258,1261,1263-1264,1267,1271,1277-1278,1280,1282-1283,1287,1291,1294,1297,1301,1303,1305,1309,1312,1314-1317,1324,1326,1333,1338,1341,1343-1346,1349-1350,1352,1355,1358-1359,1363,1367,1373,1376,1379,1382,1384,1389-1390,1393,1395,1397,1399-1400,1409,1412,1414,1417-1420,1423,1426-1427,1435-1436,1438-1440,1442,1444,1446-1448,1452-1453,1462,1465,1471-1473,1475,1477-1478,1480,1488,1490,1494,1500,1502,1504-1505,1509,1512-1513,1516,1519,1524,1529,1531,1534-1535,1537,1541,1545,1548,1551,1560,1564-1565,1569,1571-1573,1580-1582,1585,1589,1591,1593,1595-1596,1598-1599,1603,1608,1613,1615,1618,1623,1632,1637,1639,1643,1649-1650,1653,1655,1659,1664-1666,1668,1675-1676,1687,1689,1693,1698,1702,1711-1712,1714,1716-1717,1719-1722,1725-1726,1729,1732,1735,1737,1739,1742-1743,1745-1746,1751,1753,1756,1759,1761,1765,1767,1773-1774,1778,1780-1781,1783-1784,1786-1787,1791,1793-1794,1799-1801,1815,1818,1821,1823,1825,1831,1834,1839,1843,1850-1851,1853,1856,1864,1867,1871,1873,1880,1882-1883,1887-1890,1893,1899,1902,1904,1906,1908,1913,1915,1918,1924,1926-1929,1932-1933,1937-1938,1942,1944-1945,1952-1953,1958-1959,1961-1963,1966,1978,1980-1982,1985-1986,1990-1991,1997,2000-2001,2003,2007-2008,2012,2023,2026,2032,2036,2038,2041,2046,2048,2050,2052,2058,2065,2068,2074,2077,2081,2083-2084,2086-2087,2089-2090,2092,2094-2095,2097-2099,2101,2104-2105,2107,2110-2112,2114,2116-2117,2120,2122,2124,2129,2131,2136-weka.filters.unsupervised.attribute.Remove-V-R106,213,618,18,2,391,166,524,82,702,432,448,475,605,470,226,409,205,689,578,502,507,458,668,49,98,413,175,269,544,757'

@attribute 31791_at numeric
@attribute 33825_at numeric
@attribute 40282_s_at numeric
@attribute 1295_at numeric
@attribute 103_at numeric
@attribute 36939_at numeric
@attribute 32783_at numeric
@attribute 38751_i_at numeric
@attribute 216_at numeric
@attribute 41741_at numeric
@attribute 37394_at numeric
@attribute 37720_at numeric
@attribute 38127_at numeric
@attribute 40161_at numeric
@attribute 38087_s_at numeric
@attribute 33989_f_at numeric
@attribute 37028_at numeric
@attribute 33558_at numeric
@attribute 41460_at numeric
@attribute 39473_r_at numeric
@attribute 38504_at numeric
@attribute 38634_at numeric
@attribute 37919_at numeric
@attribute 41172_at numeric
@attribute 1740_g_at numeric
@attribute 31557_at numeric
@attribute 37068_at numeric
@attribute 33027_at numeric
@attribute 34987_s_at numeric
@attribute 39032_at numeric
@attribute Class {normal,tumor}

@data
-0.573019,1.007652,0.077086,-1.004116,0.224025,-1.389059,-0.745532,-0.022538,-0.766224,0.51474,-0.024939,1.1821,0.882821,-0.276031,0.383454,1.310853,1.079528,-1.17275,0.555336,-1.342255,-1.243382,0.049897,-2.195951,0.908037,0.950846,0.599933,2.019438,-0.841976,1.198021,1.264376,tumor
-0.587884,1.675449,0.671395,0.569414,0.888673,-1.09465,1.767913,-0.489023,0.055706,0.51474,0.264848,0.388556,-0.539557,2.068281,0.967367,0.740464,1.595665,-1.287632,-0.07909,-1.069856,-1.469118,0.561212,-1.863274,-0.676138,0.94308,0.599933,0.977984,-1.426409,0.914758,0.151074,tumor
1.218355,1.282184,1.581684,2.206211,-0.431148,2.006896,1.786045,0.842146,1.170337,0.51474,0.421814,0.53112,1.582111,-0.483894,1.529255,-0.605479,1.865189,-1.480295,1.759572,-0.209635,-0.705086,1.15773,1.979128,0.208136,-0.124789,0.599933,-2.944083,-1.041729,0.918364,0.27284,normal
0.813827,0.473337,1.519071,0.751729,-2.758169,-1.896791,1.747616,-0.009065,1.170337,0.51474,1.875502,0.484739,1.231009,-1.502105,1.219841,0.922242,1.628252,-1.24495,1.528696,-1.152711,-1.429703,1.838701,1.928025,0.832941,-0.354227,0.599933,-0.631759,-1.039511,1.334214,0.164901,normal
0.897683,-0.074095,1.278091,0.466622,-0.643948,-0.438824,1.771376,1.066873,1.170337,0.51474,1.733207,0.198764,0.958077,1.574331,1.242269,-0.091305,-1.469726,-0.212535,-0.374594,-0.898961,-0.348205,1.278237,-0.541948,0.995771,-0.009638,0.599933,-0.22412,-0.739901,0.961857,0.081132,normal
1.940859,1.641759,1.30443,0.730009,-1.821729,-0.138652,1.660718,0.982645,0.01516,0.51474,1.683784,0.622728,0.80049,-0.975238,0.796348,0.380979,1.617559,-1.681427,1.030969,-0.692508,-1.239948,1.316905,1.50753,0.995771,0.517214,0.599933,-2.527883,-1.229919,1.288015,0.535293,normal
0.711391,-1.438288,-0.814042,-1.119818,-0.025959,0.904352,-0.069808,-1.836356,-0.939399,-0.615533,-0.402416,-1.547626,-0.865083,0.584394,-0.967637,-0.15846,-0.578033,0.490505,-1.095203,2.096016,1.698309,-0.404513,0.528132,-1.131715,-1.231209,-2.079654,0.56323,1.715555,-1.024119,-0.257341,normal
0.305012,-1.567383,-0.84373,-0.973686,0.362914,0.657979,-0.24392,-2.420342,-1.426362,-2.368034,-1.159432,-1.764932,-1.181217,0.25264,-0.541047,0.252804,-0.725013,1.816337,-0.894898,2.000145,1.028808,-1.133522,0.485829,-0.948864,-1.164517,-2.301506,0.154473,1.520333,-1.132535,-1.726486,normal
1.363016,-0.365632,1.177561,-0.806942,-0.36461,0.873874,-0.841838,0.847627,1.017437,0.51474,0.737002,-0.37371,-0.000684,-0.689437,1.19371,-0.635189,-1.085758,0.365638,-0.303017,0.105681,1.658369,0.796137,-0.551761,0.995771,-1.255781,0.599933,-0.505912,0.240229,-1.170185,0.009808,normal
-0.304804,-0.902335,-1.564337,-0.104233,0.879928,0.791058,0.004454,-1.010151,-1.120687,0.51474,-1.32633,-1.681846,-1.30957,0.474116,-0.985801,-0.674227,-0.2982,0.924962,0.008288,0.148168,1.720859,-1.060907,0.810747,-1.520819,-0.747722,-2.313227,0.411017,0.510049,-1.061736,-1.351182,tumor
-0.630934,-0.284171,-0.821147,-1.383802,0.852404,0.355189,-0.475169,1.066873,-1.656654,-2.121491,-1.148888,-1.377008,-1.17525,0.585437,-1.063853,-0.067449,-0.839096,2.255615,-1.118032,-0.073726,1.050679,-0.98025,0.233615,-1.02024,-0.074299,-2.06394,0.004024,0.988224,-1.201172,-1.085055,tumor
-0.209204,-0.726494,-1.009641,-1.11229,0.688554,0.698617,-0.227617,-0.857034,-1.430794,0.51474,-1.425415,-1.308771,-0.941705,0.702729,-0.628171,-0.603163,-0.469759,1.367037,-0.164887,-0.112133,1.165076,-0.88561,0.531969,-1.511845,-1.125668,-1.816549,0.288648,0.520391,-0.954628,-0.021221,tumor
-1.699229,0.391739,-0.840007,0.108048,2.357512,-0.532244,1.247808,-0.311681,0.256138,0.51474,0.610487,0.961539,-0.598338,1.905355,-0.538253,1.366567,1.055461,-0.201148,0.064265,-0.168626,-0.355048,-0.745395,-0.801244,0.995771,1.365849,0.599933,1.527942,-0.805323,0.66033,1.264376,tumor
0.549494,1.219769,0.160364,1.712789,0.994988,-1.07962,-0.646802,-0.760867,0.45512,0.51474,0.81696,1.1821,0.561311,-0.585954,-0.928546,1.815525,1.759672,-1.088417,1.753628,-0.296963,-1.774852,-0.341469,0.855222,0.995771,0.649733,-0.102533,0.3954,-1.773591,1.029462,1.057697,tumor
-1.682525,0.920099,-0.881116,1.30674,1.599193,-2.065915,-0.908945,0.531569,-0.971055,0.51474,0.693608,1.1821,1.070145,-0.584617,-0.827689,1.698542,0.774793,-1.764447,1.535645,-2.279555,-1.956735,-0.78807,1.997486,0.995771,1.365849,0.599933,2.089386,-1.069944,1.382564,1.264376,tumor
-0.887301,0.821855,0.434067,0.794915,-0.581747,-0.260901,0.818905,1.066873,0.584601,0.51474,-0.02971,0.336811,1.350232,2.017082,0.75889,-1.90938,0.943704,-1.235516,0.513883,0.789501,-0.481422,-0.057592,-0.861853,0.831994,1.365849,0.599933,-0.550262,-1.425395,0.627922,0.50788,tumor
-0.191045,0.603554,-0.800543,0.649122,-0.476215,0.209003,-0.870808,-0.728158,-0.219694,0.51474,-0.573881,0.976291,-0.772861,0.123424,-1.436612,-0.108675,-0.78593,1.442921,0.447314,1.468416,-0.227657,-0.713724,-0.892598,0.995771,-0.902613,-0.531694,-0.348526,0.679999,-0.398421,1.264376,tumor
0.944325,-0.627794,0.880805,-0.065092,-0.207976,0.146455,-0.439291,-0.376733,1.170337,0.51474,-0.394666,-1.333418,-0.208619,0.069049,0.631847,-0.46844,-1.235632,0.252224,-1.937719,-0.102269,0.075906,0.954764,0.022642,-1.034341,-1.392171,0.353248,0.235734,0.930209,-1.005059,-0.742766,normal
1.172353,-1.068276,1.573197,0.779979,-0.615466,-0.417643,1.413999,0.085959,1.170337,0.51474,-1.96584,-0.222474,1.565696,2.090993,0.90413,0.043313,-0.222469,-0.661551,0.076799,-0.341605,-1.20243,0.803684,2.584685,-0.746219,-1.001012,0.599933,-1.44024,-0.035264,0.613867,-0.871617,normal
0.303596,-1.40317,-0.901468,-1.544065,0.182603,0.427974,-0.039723,-2.427674,-1.314093,-2.39648,-0.888713,-1.700371,-1.257133,-0.010776,-1.092138,0.483692,-0.857724,0.852148,-0.176319,1.936125,1.152729,-1.284525,0.511973,-1.699409,-1.294464,-2.313785,-0.23431,1.847961,-1.271472,-1.834406,normal
1.291227,0.050299,0.823622,0.254621,-1.982491,2.205845,1.769938,-0.098679,1.170337,0.51474,0.771178,0.438316,1.452675,-0.329394,1.326206,-1.555509,-1.487302,-0.70696,0.984461,-0.850816,-1.754054,1.227231,0.376647,0.739559,-0.130006,0.599933,-2.924403,-1.424091,1.115689,1.047802,normal
-0.665587,-0.95776,0.818599,-1.563514,0.01242,0.483685,-0.214412,0.424473,-0.245383,-2.272272,-0.27232,-1.412369,-1.160838,0.180757,1.230245,-0.354743,-0.675927,0.937937,-0.822117,-0.077896,0.845863,0.691102,0.468662,-1.288657,-0.990206,0.599933,0.082397,0.930407,-1.07489,-1.516165,normal
1.49717,0.431618,0.292145,0.491485,-0.433038,0.070776,0.51845,0.189693,0.280554,0.51474,1.329895,-0.248538,0.606712,-0.679264,1.033441,-1.127352,-0.925363,-0.391541,0.12746,-0.434011,-0.626354,0.962426,0.741889,0.995771,0.067876,0.599933,-1.610166,-0.184345,0.897201,0.560586,normal
0.897683,-0.074095,1.278091,0.466622,-0.643948,-0.438824,1.771376,1.066873,1.170337,0.51474,1.733207,0.198764,0.958077,1.574331,1.242269,-0.091305,-1.469726,-0.212535,-0.374594,-0.898961,-0.348205,1.278237,-0.541948,0.995771,-0.009638,0.599933,-0.22412,-0.739901,0.961857,0.081132,normal
-1.42607,1.675449,-0.952743,0.569657,1.366214,-1.206223,-1.380069,0.387371,0.211776,0.51474,-0.306474,0.808135,-0.467167,-1.667122,-1.241321,0.88833,1.641056,-0.354942,-0.157952,1.689985,-1.159864,-0.482897,-2.137907,0.995771,0.763579,0.274774,-0.0988,0.117188,1.198113,-0.532684,tumor
-0.064196,1.675449,-0.363646,-0.091389,-0.274784,0.066956,-0.851709,1.066873,-1.121307,-1.850126,-0.784501,1.1821,-1.06735,-0.292383,-0.920105,-0.023081,-0.972987,0.817086,-0.315162,0.678278,0.248692,-1.019996,-0.332466,-0.346067,0.657078,0.599933,0.178553,0.241531,-1.311829,-1.082537,tumor
-0.602599,0.337828,-0.38828,1.917497,0.463024,-1.472503,-1.338734,-0.263668,-1.147309,0.51474,0.159089,1.1821,0.964616,-0.488503,-1.061467,0.968941,1.294966,-1.423308,2.047235,-0.44983,-0.592896,-1.114166,0.131743,0.995771,1.158411,-0.186345,2.066763,-0.906589,1.709973,1.264376,tumor
-0.191045,0.603554,-0.800543,0.649122,-0.476215,0.209003,-0.870808,-0.728158,-0.219694,0.51474,-0.573881,0.976291,-0.772861,0.123424,-1.436612,-0.108675,-0.78593,1.442921,0.447314,1.468416,-0.227657,-0.713724,-0.892598,0.995771,-0.902613,-0.531694,-0.348526,0.679999,-0.398421,1.264376,tumor
-0.064196,1.675449,-0.363646,-0.091389,-0.274784,0.066956,-0.851709,1.066873,-1.121307,-1.850126,-0.784501,1.1821,-1.06735,-0.292383,-0.920105,-0.023081,-0.972987,0.817086,-0.315162,0.678278,0.248692,-1.019996,-0.332466,-0.346067,0.657078,0.599933,0.178553,0.241531,-1.311829,-1.082537,tumor
-1.73193,0.988771,-0.929827,1.133121,2.374124,-1.039459,0.2441,1.066873,-1.079351,0.51474,-0.278041,1.042571,1.073932,2.122051,0.222872,-0.584816,0.207272,-0.798279,0.302557,-0.524443,-1.24561,0.352822,-1.090371,-0.514553,1.365849,0.599933,1.033482,-0.693585,1.107132,1.264376,tumor
-1.820327,-1.064046,-0.876459,0.249042,-0.271152,-0.377822,-1.25903,0.811498,-1.636111,0.092776,-1.609649,1.1821,0.683087,0.022785,-1.243518,1.777522,0.46081,-1.623633,2.071929,-0.293021,-0.15262,-1.726834,-0.234437,0.995771,1.365849,-0.707135,-0.122422,-1.654496,1.595263,-0.706085,tumor
-0.887301,0.821855,0.434067,0.794915,-0.581747,-0.260901,0.818905,1.066873,0.584601,0.51474,-0.02971,0.336811,1.350232,2.017082,0.75889,-1.90938,0.943704,-1.235516,0.513883,0.789501,-0.481422,-0.057592,-0.861853,0.831994,1.365849,0.599933,-0.550262,-1.425395,0.627922,0.50788,tumor
-0.665587,-0.95776,0.818599,-1.563514,0.01242,0.483685,-0.214412,0.424473,-0.245383,-2.272272,-0.27232,-1.412369,-1.160838,0.180757,1.230245,-0.354743,-0.675927,0.937937,-0.822117,-0.077896,0.845863,0.691102,0.468662,-1.288657,-0.990206,0.599933,0.082397,0.930407,-1.07489,-1.516165,normal
0.876572,-0.730741,1.1476,-0.487091,-0.803348,1.90045,0.465514,-0.91351,1.170337,0.51474,1.58562,-0.730062,0.417236,-0.889724,1.465876,-0.477201,-0.446636,1.224771,-0.266855,-0.327559,-0.881713,1.196189,-0.888153,0.109386,-1.361056,0.599933,-0.991551,0.93982,-0.084183,0.192384,normal
1.002697,-0.520608,0.733446,0.340896,-1.401789,-1.400854,-0.007114,-0.337757,0.797036,0.51474,0.400508,0.225779,0.920406,-1.710563,-0.104088,1.822588,0.516732,-1.027754,0.136881,-0.790565,-0.49169,0.698428,0.967137,0.995771,0.889821,0.599933,-1.068642,-0.976031,1.2417,0.454532,normal
0.875383,-0.443543,0.99852,1.75129,-0.665602,1.744345,0.37216,0.950453,1.170337,0.51474,0.801719,0.681311,1.544908,-0.84752,1.290844,-0.511907,-0.678065,0.651347,0.431376,-0.260695,0.696859,1.050724,-0.947329,-0.494631,-0.293364,0.599933,-1.079792,0.408162,-0.033401,1.264376,normal
1.426562,0.00093,1.641277,1.353359,-2.242477,-0.943442,1.794882,0.278599,1.170337,0.51474,1.833271,0.245694,1.153282,-0.955897,1.517779,-0.240855,1.392115,-1.161407,2.038494,-0.539308,-1.011849,1.548591,1.608529,0.995771,-0.005302,0.599933,-0.326397,-1.774838,1.544063,-0.20494,normal
0.133688,-1.514744,-0.850623,0.029168,-0.691924,-0.405621,1.78553,-0.38126,0.504427,0.51474,0.373995,0.010935,1.721717,-0.558902,-1.042647,1.214163,-0.212554,-0.576361,-0.140116,-0.167694,-0.283531,-0.397845,-0.889846,0.995771,1.096186,0.599933,-0.957952,-0.349988,0.749357,1.124721,normal
0.305012,-1.567383,-0.84373,-0.973686,0.362914,0.657979,-0.24392,-2.420342,-1.426362,-2.368034,-1.159432,-1.764932,-1.181217,0.25264,-0.541047,0.252804,-0.725013,1.816337,-0.894898,2.000145,1.028808,-1.133522,0.485829,-0.948864,-1.164517,-2.301506,0.154473,1.520333,-1.132535,-1.726486,normal
-1.694602,0.557724,-0.897436,0.610056,1.579078,-1.014489,-1.166398,0.068408,-0.502013,0.51474,0.48041,1.1821,-0.985886,-1.51622,-0.538638,0.805471,1.410247,-0.556563,0.366138,0.804165,-0.866629,-1.212088,-1.561506,0.491235,0.501329,0.599933,1.424368,-0.500207,1.013501,1.264376,tumor
-1.550124,0.73026,-0.854343,0.677266,2.335148,-0.120113,1.467727,1.066873,-0.692453,0.51474,-1.937771,1.1821,0.773966,2.106891,0.373483,-1.805266,-0.993479,-0.496581,0.042451,-0.849399,-0.268357,-0.526724,-0.570204,-0.204007,0.975233,0.599933,2.21776,-1.136638,0.724805,0.79418,tumor
0.712268,-0.355265,0.645299,2.026316,-0.483275,-2.471118,-0.695384,1.066873,0.995931,0.51474,0.261765,1.1821,0.962721,-2.488742,-0.29533,-0.351771,1.609621,-2.080915,1.847925,-2.8187,-0.317406,-0.134369,2.173467,0.995771,1.358872,-0.136417,1.490768,-1.387365,1.125988,-0.030747,tumor
